gene_id	Piezo1_Wt_1	Piezo1_Wt_2	Piezo1_Wt_3	Piezo1_Wt_4	Piezo1_ko_1	Piezo1_ko_2	Piezo1_ko_3	Piezo1_ko_4
ENSMUSG00000052301	0	2	0	0	0	0	0	0
ENSMUSG00000007480	29	20	25	17	20	24	17	14
ENSMUSG00000052302	33	32	33	22	23	15	21	27
ENSMUSG00000052303	0	0	0	1	0	0	0	0
ENSMUSG00000048040	10	11	16	14	18	17	13	20
ENSMUSG00000118952	0	0	0	0	0	0	0	0
ENSMUSG00000052305	18662	20074	32720	20983	7937	26335	22282	31133
ENSMUSG00000118955	0	0	0	0	0	0	0	0
ENSMUSG00000118956	0	0	0	0	0	0	0	0
ENSMUSG00000054792	255	253	309	257	199	219	224	191
ENSMUSG00000095351	12	4	7	6	2	6	3	1
ENSMUSG00000118957	0	0	0	0	0	0	0	0
ENSMUSG00000101920	0	0	0	0	0	0	0	0
ENSMUSG00000054793	13	13	28	16	27	27	21	20
ENSMUSG00000048047	258	245	307	265	199	271	222	189
ENSMUSG00000095353	0	0	0	0	0	0	0	0
ENSMUSG00000101921	0	0	0	0	0	0	0	0
ENSMUSG00000101922	0	1	0	0	0	0	0	0
ENSMUSG00000101923	0	0	0	0	0	0	0	0
ENSMUSG00000095356	0	0	0	0	0	0	0	0
ENSMUSG00000101925	2	0	4	1	2	2	1	0
ENSMUSG00000095358	0	0	0	0	0	0	0	0
ENSMUSG00000101927	0	0	0	0	0	0	0	0
ENSMUSG00000101928	0	0	0	0	0	0	0	0
ENSMUSG00000101929	0	0	0	0	0	0	0	0
ENSMUSG00000062742	0	0	0	4	0	0	0	1
ENSMUSG00000015437	7	5	2	4	3	12	0	4
ENSMUSG00000062743	51	76	72	69	63	85	75	67
ENSMUSG00000035161	347	335	360	304	297	356	301	235
ENSMUSG00000035164	90	81	125	110	106	101	81	66
ENSMUSG00000035165	93	114	125	128	75	92	105	70
ENSMUSG00000035168	1157	1210	1284	1087	1455	1318	1214	964
ENSMUSG00000025870	96	109	89	105	103	89	106	100
ENSMUSG00000025871	776	791	842	730	774	812	749	641
ENSMUSG00000043110	3	4	6	2	2	0	5	3
ENSMUSG00000025872	289	331	372	265	225	275	298	272
ENSMUSG00000025873	661	671	780	642	672	633	691	488
ENSMUSG00000109760	0	0	0	0	0	0	0	0
ENSMUSG00000025875	338	392	420	319	417	306	409	313
ENSMUSG00000109761	1	5	1	2	4	3	2	0
ENSMUSG00000025876	44	40	42	37	34	65	34	35
ENSMUSG00000109762	0	0	0	0	0	1	0	0
ENSMUSG00000025877	577	745	930	831	280	607	555	667
ENSMUSG00000109763	0	0	0	0	0	0	0	0
ENSMUSG00000025878	538	580	698	541	470	548	583	479
ENSMUSG00000109764	0	2	2	0	2	1	1	1
ENSMUSG00000109765	0	1	3	0	0	0	0	0
ENSMUSG00000086160	0	0	0	0	0	0	0	0
ENSMUSG00000109766	0	0	0	0	0	0	0	0
ENSMUSG00000043119	0	0	0	0	0	0	0	0
ENSMUSG00000086161	0	0	0	0	0	0	0	0
ENSMUSG00000109767	0	0	0	0	0	0	0	0
ENSMUSG00000086162	0	0	0	0	0	0	0	0
ENSMUSG00000109768	0	0	0	0	0	0	0	0
ENSMUSG00000086163	0	1	0	1	0	0	0	0
ENSMUSG00000109769	0	0	0	0	0	0	0	0
ENSMUSG00000086164	0	0	0	0	0	0	0	0
ENSMUSG00000086165	0	0	3	0	0	1	0	1
ENSMUSG00000117710	2	3	5	7	3	2	2	2
ENSMUSG00000086166	0	0	0	0	0	0	0	0
ENSMUSG00000117711	0	0	0	0	0	0	0	0
ENSMUSG00000033825	3	8	6	2	15	33	22	23
ENSMUSG00000086167	0	0	0	1	0	0	0	0
ENSMUSG00000006241	23	27	31	28	30	36	28	20
ENSMUSG00000117712	0	0	0	0	0	0	0	0
ENSMUSG00000058802	0	0	0	0	0	0	0	0
ENSMUSG00000033826	141	178	200	155	66	135	140	113
ENSMUSG00000086168	0	0	0	0	0	0	0	0
ENSMUSG00000117713	0	1	0	0	2	0	0	0
ENSMUSG00000117714	1	2	5	0	1	0	0	0
ENSMUSG00000117715	0	0	0	0	0	0	0	0
ENSMUSG00000112460	0	0	0	0	0	0	0	0
ENSMUSG00000053550	3	1	3	0	0	3	2	0
ENSMUSG00000112461	0	2	0	3	0	0	1	1
ENSMUSG00000058806	1660	1824	1991	1745	1864	1966	1972	1641
ENSMUSG00000094111	0	0	2	0	0	1	0	1
ENSMUSG00000117717	0	0	0	0	0	0	0	0
ENSMUSG00000112462	0	0	0	0	0	0	0	1
ENSMUSG00000053552	46	40	50	32	67	46	51	41
ENSMUSG00000058807	0	0	0	0	0	0	0	0
ENSMUSG00000117718	2	0	0	0	1	0	1	0
ENSMUSG00000094112	0	0	0	0	0	0	0	0
ENSMUSG00000112463	0	0	0	0	0	0	0	0
ENSMUSG00000053553	124	161	167	135	130	166	167	116
ENSMUSG00000117719	0	0	0	0	0	0	0	0
ENSMUSG00000094113	0	0	0	0	0	0	0	0
ENSMUSG00000112464	0	0	0	0	0	0	0	0
ENSMUSG00000058809	70	71	124	55	67	43	119	60
ENSMUSG00000112465	0	0	0	0	0	0	0	0
ENSMUSG00000094115	0	0	0	0	0	0	0	0
ENSMUSG00000112466	62	78	106	101	84	110	90	70
ENSMUSG00000094116	0	0	0	0	0	0	0	0
ENSMUSG00000112467	0	0	0	0	0	0	0	0
ENSMUSG00000094117	4	3	3	4	2	4	2	3
ENSMUSG00000112468	0	0	0	0	0	0	0	0
ENSMUSG00000094118	0	0	0	0	0	0	0	0
ENSMUSG00000112469	0	0	0	0	0	0	0	0
ENSMUSG00000053559	186	195	197	148	234	206	220	173
ENSMUSG00000094119	0	0	0	0	0	0	0	0
ENSMUSG00000120410	0	1	3	3	2	1	1	2
ENSMUSG00000120411	0	0	0	0	0	0	0	0
ENSMUSG00000120412	0	0	0	0	0	0	0	0
ENSMUSG00000057240	0	0	0	0	1	0	0	0
ENSMUSG00000120413	15	16	26	14	6	17	10	11
ENSMUSG00000116151	0	0	0	0	0	0	0	0
ENSMUSG00000120414	2	5	5	2	5	10	7	1
ENSMUSG00000120415	0	0	0	0	0	0	0	0
ENSMUSG00000120416	0	0	0	0	0	0	0	0
ENSMUSG00000057244	2	4	6	3	5	1	5	4
ENSMUSG00000120417	0	0	0	0	0	0	0	0
ENSMUSG00000116155	0	0	0	0	0	0	0	0
ENSMUSG00000120418	1	1	0	1	0	0	0	0
ENSMUSG00000057246	4	6	4	2	9	6	7	7
ENSMUSG00000120419	3	4	6	4	4	6	9	1
ENSMUSG00000116157	0	0	0	0	0	0	0	0
ENSMUSG00000063994	0	0	0	0	0	0	0	0
ENSMUSG00000116158	0	0	0	0	0	0	0	0
ENSMUSG00000063998	0	0	0	0	0	0	0	0
ENSMUSG00000049612	2	6	3	5	2	2	3	5
ENSMUSG00000024639	674	711	799	677	654	686	613	535
ENSMUSG00000103270	1	3	10	4	0	2	3	3
ENSMUSG00000103271	0	0	0	1	0	2	0	0
ENSMUSG00000044361	0	0	0	1	0	0	1	0
ENSMUSG00000103272	1	3	3	0	1	2	4	2
ENSMUSG00000044362	1	2	5	1	6	7	7	7
ENSMUSG00000049618	0	0	0	0	0	0	0	0
ENSMUSG00000103273	0	0	0	0	0	0	0	0
ENSMUSG00000103274	0	0	0	0	0	0	0	0
ENSMUSG00000044364	2	0	0	0	0	0	0	0
ENSMUSG00000103275	0	0	0	0	0	0	0	0
ENSMUSG00000044365	10	16	9	7	14	10	11	8
ENSMUSG00000103276	0	0	0	0	0	0	0	0
ENSMUSG00000103277	0	0	0	0	0	0	0	0
ENSMUSG00000044367	29	20	29	27	21	20	38	13
ENSMUSG00000103279	0	0	0	0	0	0	0	0
ENSMUSG00000052310	1983	1813	2056	1608	1703	1649	1699	1332
ENSMUSG00000118960	0	0	0	0	0	0	0	0
ENSMUSG00000118963	0	0	0	0	0	0	0	0
ENSMUSG00000052316	281	202	215	140	506	579	441	496
ENSMUSG00000118965	0	0	0	0	0	0	0	0
ENSMUSG00000118966	0	0	0	0	0	0	0	0
ENSMUSG00000095360	0	0	0	0	0	0	0	0
ENSMUSG00000118967	0	0	0	0	0	0	0	0
ENSMUSG00000095362	58	69	77	77	62	66	83	55
ENSMUSG00000118968	0	0	0	0	0	0	0	0
ENSMUSG00000101930	0	0	0	0	2	0	1	1
ENSMUSG00000101931	0	0	0	0	0	0	0	0
