Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000061311.6	Rag1	0.266091083333333	0.340162666666667	0.0438763333333333	-0.360457315350673	0.534087239845096	-5.26944043232172	1.36840267985648e-07	0.00329534531935985
ENSMUSG00000004814.10	Ccl24	2.77411983333333	1.740642	5.87455333333333	1.32675209250409	0.312782563549616	5.15708385509729	2.50825492415882e-07	0.00329534531935985
ENSMUSG00000096464.2	Ighv2-2	24.8629116666667	17.4702822222222	47.0408	1.37905426515935	0.337552604941722	4.88576987274947	1.03025478705573e-06	0.00902365826155875
ENSMUSG00000033501.4	Crygs	0.494745333333333	0.293652888888889	1.09802266666667	0.697579697257836	0.411113344274292	4.68363870863096	2.81826582990449e-06	0.0185131882366426
ENSMUSG00000058385.8	Hist1h2bg	3.4693875	4.06395444444444	1.68568666666667	-0.914973427846189	0.27622196757515	-4.32694266685258	1.51193295513452e-05	0.079455100658229
ENSMUSG00000034108.5	Ccs	21.033125	19.6625	25.145	0.339520250667165	0.0911926107294304	4.14948700554336	3.33221202284481e-05	0.145928671853784
ENSMUSG00000022902.7	Stfa2	26.8031816666667	18.7941755555556	50.8302	1.38871698160935	0.362698341498809	4.09339717700159	4.25098633044549e-05	0.159569881169694
ENSMUSG00000009670.11	Tex11	0.0543059166666667	0.0114625555555556	0.182836	0.225807145963053	0.985166400307288	3.9678541684579	7.25226875231049e-05	0.238200767169638
ENSMUSG00000042045.6	Sln	4.21218916666667	2.92205666666667	8.08258666666667	1.21149284697184	0.422761684108062	3.86828516956326	0.000109603440223932	0.319993332813781
ENSMUSG00000035638.14	Muc20	0.0989208333333333	0.0461262222222222	0.257304666666667	0.26527734905556	0.609024242639608	3.77440767368485	0.000160388293315144	0.419436551512709
ENSMUSG00000083708.1	Gm13123	0.502863166666667	0.6674	0.00925266666666667	-0.724312841632426	1.50704777069323	-3.75177077805052	0.000175589970567811	0.419436551512709
ENSMUSG00000114547.1	AC154767.1	0.473761	0.343394555555556	0.864860333333333	0.4731844983142	0.361297002184376	3.66350262331478	0.000248789667109236	0.517451744943976
ENSMUSG00000071561.2	BC100530	18.3762766666667	14.1881911111111	30.9405333333333	1.07243834519898	0.336360651478282	3.65617337044434	0.000256008246470988	0.517451744943976
ENSMUSG00000002395.14	Use1	118.4215	112.754444444444	135.422666666667	0.262160455241007	0.0866336480899504	3.62916100226774	0.000284343865152719	0.533672814339489
ENSMUSG00000099684.6	Gm28356	0.4378455	0.574166555555556	0.0288823333333333	-0.613510194164694	1.18948055162013	-3.55288509228283	0.000381030864670691	0.656690128276935
ENSMUSG00000071562.5	Stfa1	34.3618833333333	26.0638111111111	59.2561	1.15474228619041	0.357575228564857	3.54016812697671	0.000399872204765983	0.656690128276935
ENSMUSG00000069805.10	Fbp1	2.3514625	1.90288111111111	3.69720666666667	0.694317583464693	0.26084735409468	3.52153890171948	0.000429049710520418	0.663159423154971
ENSMUSG00000067064.4	Olfr1416	0.0461549166666667	0.0586945555555556	0.008536	-0.0700238344551716	0.796181665078697	-3.42320872971098	0.000618865360925542	0.90340590131553
ENSMUSG00000095620.7	2010005H15Rik	1.08962583333333	0.781234444444444	2.0148	0.759184882651985	0.399724765966252	3.37847563271038	0.000728888918255651	0.993075325853627
ENSMUSG00000096844.1	Igkv6-14	29.7478825	12.4135277777778	81.7509466666667	2.62508709828249	0.886067450145499	3.36846492564692	0.000755880138418045	0.993075325853627
ENSMUSG00000096805.2	Ighv9-1	9.42870283333333	4.16640077777778	25.215609	2.34319459230862	0.804063381020923	3.27993839374138	0.00103829756661128	1
ENSMUSG00000043924.16	Ncmap	1.9140465	1.57763088888889	2.92329333333333	0.606019517884866	0.450565958708604	3.2504734081418	0.00115213042626178	1
ENSMUSG00000114277.1	Gm48583	202.717416666667	179.926444444444	271.090333333333	0.588682412715558	0.192692621789932	3.23961484577151	0.00119691254753115	1
ENSMUSG00000032298.13	Neil1	5.9653725	6.39986333333333	4.6619	-0.38621235741706	0.124757526445688	-3.22146027366241	0.00127539142270545	1
ENSMUSG00000049526.8	Tmem202	2.04620916666667	1.81136	2.75075666666667	0.415913464648829	0.230359264931578	3.21912650574332	0.00128581745088331	1
ENSMUSG00000012705.16	Retn	8.01045166666667	5.47186888888889	15.6262	1.36120418506393	0.424614645118008	3.20943646402857	0.00132995436262797	1
