Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000044206.3	Vsig4	8.83878461538461	1.930995	11.9089133333333	2.13890514827916	0.306407548153642	7.57536117512005	3.58129888410709e-14	9.39589575234336e-10
ENSMUSG00000070498.3	Tmem132b	0.665634461538462	0.157351	0.891538222222222	0.708733459551691	0.297153625158942	7.27399986283006	3.48996340176605e-13	4.5781339904367e-09
ENSMUSG00000079190.3	AC133103.1	1.06793276923077	0.18016275	1.46249722222222	1.06113626941673	0.420939529063842	6.289219587117	3.19065881546543e-10	2.79033748941837e-06
ENSMUSG00000042385.14	Gzmk	2.522016	0.2624975	3.52624644444444	1.84203460736497	0.595721236063702	5.42679695918778	5.73743318101355e-08	0.000309778303595954
ENSMUSG00000005413.8	Hmox1	345.902307692308	572.04275	245.395444444444	-1.21766718800948	0.278998243245836	-5.4216940058549	5.90368774957985e-08	0.000309778303595954
ENSMUSG00000069917.7	Hba-a2	32972.6153846154	55440.8	22986.7555555556	-1.2701084842532	0.296266344596496	-5.3671521805005	7.99895631123026e-08	0.000349767696302395
ENSMUSG00000064254.6	Ethe1	24.1294153846154	28.9768	21.9750222222222	-0.383780127997133	0.138380006902767	-5.20262309629853	1.96495121629837e-07	0.000736463715868629
ENSMUSG00000038871.5	Bpgm	134.980869230769	184.72875	112.8707	-0.70580057963591	0.201635186759491	-5.16418999670705	2.41482320303917e-07	0.000791941269436696
ENSMUSG00000024803.8	Ankrd1	14.2517261538462	4.79162	18.4562177777778	1.74819242991632	0.317382684248857	5.09376064438798	3.51029893799415e-07	0.00102329114374683
ENSMUSG00000027832.5	Ptx3	14.4857538461538	17.819675	13.0040111111111	-0.42640160260083	0.159368052948048	-5.00457370670817	5.59857875600224e-07	0.00146884312242475
ENSMUSG00000056380.13	Gpr50	1.16365792307692	2.0108075	0.787147	-0.752492163669718	0.334818645909122	-4.95277071974589	7.3164163764072e-07	0.00174503181864927
ENSMUSG00000069919.7	Hba-a1	17483.9407692308	28483.05	12595.4477777778	-1.17713734191256	0.307578685153795	-4.88535334071582	1.03243532444497e-06	0.00210260909327019
ENSMUSG00000079457.9	Gm7609	2.29284061538462	0.809802	2.95196888888889	1.12673972063226	0.305710897522562	4.87929376610665	1.06466385509515e-06	0.00210260909327019
ENSMUSG00000021950.15	Anxa8	22.5017623076923	4.1483375	30.65884	2.62042985733035	0.318382182015151	4.86893907342535	1.12198991102998e-06	0.00210260909327019
ENSMUSG00000025270.13	Alas2	254.813	381.48725	198.513333333333	-0.938926493222198	0.255405002808588	-4.84124120876395	1.29030635081586e-06	0.0021969045594276
ENSMUSG00000044349.15	Snhg11	2.96825692307692	1.4505025	3.64281444444444	0.921922004463414	0.221977791795954	4.83376011634032	1.33978018565489e-06	0.0021969045594276
ENSMUSG00000045733.7	Sprn	0.215737461538462	0.0738175	0.278813	0.252056493478869	0.512344690565093	4.79788675202602	1.60348390788903e-06	0.00247464728278686
ENSMUSG00000018427.7	Ypel2	3.66088846153846	2.42822	4.20874111111111	0.603475038080461	0.0984807346014583	4.72973123768557	2.24817257654942e-06	0.00327683642879726
ENSMUSG00000075014.1	Gm10800	1.76765923076923	0.1049615	2.506636	1.66609157912086	0.915885472565846	4.62782216048007	3.69531122750253e-06	0.00510264133498717
ENSMUSG00000040564.14	Apoc1	18.3077907692308	2.776105	25.2107622222222	2.79518852200878	0.629431064708934	4.605465816631	4.11543587787267e-06	0.00539862878459337
ENSMUSG00000068392.3	Rnase13	0.433915153846154	0.11681375	0.574849111111111	0.495824999285932	0.431080738813094	4.54285215944495	5.54981748873999e-06	0.00693357198259916
ENSMUSG00000026413.12	Pkp1	2.03191407692308	0	2.934987	1.9763588695151	1.24704608957205	4.51281487560198	6.39728576316326e-06	0.00762564085240295
ENSMUSG00000095351.2	Igkv3-2	263.894053846154	33.2795	366.389411111111	3.42189207412647	0.682736145416587	4.50347640624353	6.68507926533267e-06	0.00762564085240295
ENSMUSG00000036928.14	Stag3	1.80812	2.4842275	1.50762777777778	-0.474515610534739	0.214176073549073	-4.47624968414092	7.59656388189049e-06	0.00830431041688662
ENSMUSG00000079222.2	AC132444.1	1.31005907692308	0.4144145	1.70812333333333	0.937088473777888	0.384293272010687	4.42461948206875	9.66124215429155e-06	0.0101388939663997
ENSMUSG00000061068.7	Mcpt4	1.81313015384615	0.555918	2.37189111111111	1.11579191850152	0.408184053720252	4.38123577081301	1.1800809099988e-05	0.0119079241364341
ENSMUSG00000032556.11	Bfsp2	2.50585230769231	3.146765	2.22100222222222	-0.364476634988757	0.186699408157003	-4.36385065188063	1.27792837822017e-05	0.0124176773818461
ENSMUSG00000083012.8	Fam220a	70.6309076923077	89.0236	62.4563777777778	-0.504538086982552	0.153791884406277	-4.35016088708568	1.36037683700698e-05	0.0126771404563527
ENSMUSG00000037239.8	Spred3	1.50390907692308	0.8215895	1.80716222222222	0.623914557080002	0.17949317123353	4.34366216449212	1.40126952749744e-05	0.0126771404563527
