Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000021815.4	Mss51	30.55085	17.59325	43.50845	1.25930029240412	0.20020617898334	6.87117233891427	6.36764089839942e-12	1.68532351657937e-07
ENSMUSG00000020571.12	Pdia6	82.4903	95.8522625	69.1283375	-0.465788223928776	0.0760104498421541	-5.38515289404254	7.23830928329697e-08	0.000957881659005104
ENSMUSG00000026773.19	Pfkfb3	35.05735	27.088075	43.026625	0.648418500587582	0.154457337994329	4.81471799182235	1.47407910681562e-06	0.0130048172400296
ENSMUSG00000028033.16	Kcnq5	1.2675933125	1.020413875	1.51477275	0.315777180828054	0.214572873210923	4.25872097548355	2.05599912391247e-05	0.136040322031478
ENSMUSG00000026185.8	Igfbp5	126.75920625	108.3800375	145.138375	0.417985608529326	0.116113737218163	4.1687617233014	3.06258949759049e-05	0.162115112465455
ENSMUSG00000030483.14	Cyp2b10	0.4153859375	0.586701625	0.24407025	-0.350962905043284	0.321448584771644	-3.93596512516219	8.28630066863115e-05	0.327605863680755
ENSMUSG00000021456.8	Fbp2	13.54892125	9.023385	18.0744575	0.928272221955969	0.281724515522009	3.92065949442116	8.83069668550965e-05	0.327605863680755
ENSMUSG00000091650.2	Apol11a	2.1739906875	3.17228625	1.175695125	-0.939361731593441	0.353105396055643	-3.89297295509828	9.90231952788772e-05	0.327605863680755
ENSMUSG00000046818.7	Ddit4l	36.2241125	25.0750125	47.3732125	0.891540407032358	0.244292900858332	3.81480116319685	0.000136292629788302	0.373505875734515
ENSMUSG00000071562.5	Stfa1	11.0261975	6.86829375	15.18410125	1.04045452632234	0.316245043150755	3.77448331727976	0.000160339637209633	0.373505875734515
ENSMUSG00000022769.8	Sdf2l1	21.2943	26.2239875	16.3646125	-0.648728177377776	0.171226544468591	-3.77333307253647	0.000161081009669217	0.373505875734515
ENSMUSG00000061728.5	Btnl7-ps	0.5721173125	0.369268	0.774966625	0.374387051889898	0.30602468301565	3.75110217317789	0.000176058931571089	0.373505875734515
ENSMUSG00000021477.9	Ctsl	174.33825	160.707875	187.968625	0.224756781332486	0.0756639723799926	3.72605681854242	0.00019449857912629	0.373505875734515
ENSMUSG00000076569.3	Igkv5-39	101.3029375	171.848475	30.7574	-2.44434316710824	0.678450810715693	-3.70835282574442	0.00020861185156678	0.373505875734515
ENSMUSG00000019893.13	Ros1	0.17227525	0.08703175	0.25751875	0.21018583204152	0.438677831898102	3.70465094601269	0.000211682024257291	0.373505875734515
ENSMUSG00000066867.8	Oas1e	0.482555625	0.750623	0.21448825	-0.527519897919896	0.506923003311191	-3.66948775200963	0.000243036981203945	0.384136566848389
ENSMUSG00000082962.3	Gm10601	0.0814005	0	0.162801	0.217604217294064	1.18818561326203	3.66562579962652	0.000246734485828489	0.384136566848389
ENSMUSG00000033765.5	Calm4	0.5196268125	0.2152485	0.824005125	0.585858429735192	0.553079191796692	3.61905348002943	0.000295682533396991	0.41905414024945
ENSMUSG00000063388.4	BC023105	12.43434875	8.27411125	16.59458625	0.923850650271319	0.301211226315681	3.61458550002738	0.00030082852853514	0.41905414024945
ENSMUSG00000047613.10	A430005L14Rik	20.94570625	24.705675	17.1857375	-0.499279462330506	0.144464177505957	-3.5826857170284	0.000340079673682824	0.43168919304939
ENSMUSG00000022774.12	Ncbp2	33.35349375	36.890325	29.8166625	-0.298118890610029	0.0809644605501477	-3.5801979699281	0.000343333988197479	0.43168919304939
ENSMUSG00000032661.9	Oas3	8.093655	11.07991375	5.10739625	-0.983980798038813	0.277177597982745	-3.56864640032838	0.000358830326334174	0.43168919304939
ENSMUSG00000082574.3	Olfr1268-ps1	0.53560075	0.368168375	0.703033125	0.315860708712037	0.299704659378629	3.53371944843607	0.00040975577121809	0.462291214846767
ENSMUSG00000023272.4	Creld2	23.99713125	28.588075	19.4061875	-0.536009169868952	0.145581164929267	-3.52769121704763	0.000419200859799842	0.462291214846767
ENSMUSG00000079017.3	Ifi27l2a	24.638881875	33.3675375	15.91022625	-1.02315052116219	0.292435148048632	-3.51537744333676	0.000439129390062039	0.46489750267088
ENSMUSG00000022902.7	Stfa2	4.819734375	2.955245	6.68422375	0.95813246573503	0.344111944908907	3.48691935964627	0.000488618664501786	0.476116663383658
ENSMUSG00000069372.3	Ctxn3	10.25717625	7.1768575	13.337495	0.810174579614021	0.285512285575246	3.47095474427846	0.000518611395692704	0.476116663383658
ENSMUSG00000019577.6	Pdk4	78.45775625	43.613	113.3025125	1.35732104551271	0.433119428004909	3.44623482145969	0.000568456165952564	0.476116663383658
ENSMUSG00000030621.17	Me3	20.89685625	15.99065	25.8030625	0.657656805669023	0.184947857104235	3.44103733867148	0.000579488559926006	0.476116663383658
ENSMUSG00000055421.8	Pcdh9	0.381801875	0.339228	0.42437575	0.0889281825763549	0.286820440288066	3.42493766451075	0.000614940495246825	0.476116663383658
ENSMUSG00000025491.14	Ifitm1	39.3109125	45.353475	33.26835	-0.435800769367311	0.111842075644753	-3.42253073988211	0.00062041082235882	0.476116663383658
ENSMUSG00000019927.6	Ube2d1	65.25996875	54.3155375	76.2044	0.480998297419762	0.171465638650722	3.42054522646363	0.000624957433401774	0.476116663383658
ENSMUSG00000083396.1	Gm15542	23.1502625	27.8266125	18.4739125	-0.565858546695609	0.155793457277062	-3.42003376519293	0.000626133635293945	0.476116663383658
ENSMUSG00000049699.4	Ucn2	0.5148831875	0.3193385	0.710427875	0.374542508677039	0.360850864280843	3.41512151618651	0.000637535627351767	0.476116663383658
ENSMUSG00000022510.14	Trp63	1.473556875	0.96398775	1.983126	0.603038983751318	0.308331593400142	3.41323146338365	0.000641973919839007	0.476116663383658
ENSMUSG00000076545.2	Igkv4-72	41.484656875	12.33187375	70.63744	2.42583422219985	0.705781625968681	3.39906721262508	0.000676160977134228	0.476116663383658
ENSMUSG00000015656.17	Hspa8	1363.0795	1558.71625	1167.44275	-0.416696543581267	0.128018101296149	-3.39495538675756	0.000686397844442581	0.476116663383658
ENSMUSG00000034923.9	Ly6g6f	11.1190675	14.97191875	7.26621625	-0.950238626805546	0.294208310420675	-3.39112250153749	0.000696069810112981	0.476116663383658
ENSMUSG00000048138.9	Dmrt2	0.427203625	0.270702375	0.583704875	0.317677352149477	0.354613174462034	3.38750572892368	0.000705312441632792	0.476116663383658
ENSMUSG00000071561.2	BC100530	3.60084125	2.05388375	5.14779875	1.00942479361149	0.389118151254791	3.38201478354334	0.00071956272094859	0.476116663383658
ENSMUSG00000019647.16	Sema6a	1.763781875	1.52428125	2.0032825	0.250667525315284	0.138653234284919	3.37151458664715	0.000747560798636547	0.482577845305207
ENSMUSG00000052776.10	Oas1a	4.74241375	6.34448875	3.14033875	-0.826913258747338	0.28560758814044	-3.3569389317689	0.000788105174664917	0.483050390951866
ENSMUSG00000037593.11	BC030499	1.5594605625	1.880355	1.238566125	-0.36367169827294	0.175052951133882	-3.34267670898044	0.00082974506521479	0.483050390951866
ENSMUSG00000040483.15	Xaf1	25.0316875	29.4024	20.660975	-0.489087033406654	0.158867957435396	-3.34096770116256	0.00083486934670017	0.483050390951866
ENSMUSG00000090799.2	Klhl33	14.850495625	10.66726	19.03373125	0.779965354972457	0.295811373302597	3.3344787796181	0.00085459420823762	0.483050390951866
ENSMUSG00000083219.1	Gm11410	1.06284575	0.710834375	1.414857125	0.497237734527874	0.310067940365939	3.33042076410401	0.000867148394585212	0.483050390951866
ENSMUSG00000002325.15	Irf9	32.9844625	40.2038375	25.7650875	-0.622426339292668	0.174338062352068	-3.32712700106113	0.000877463727240808	0.483050390951866
ENSMUSG00000024127.14	Prepl	9.772056875	10.93825125	8.6058625	-0.31360445903933	0.082504694507067	-3.32487106772269	0.000884594324915823	0.483050390951866
ENSMUSG00000036196.15	Slc26a8	1.1001203125	0.9148635	1.285377125	0.25519069936919	0.171207396568246	3.32182701945975	0.00089430117340996	0.483050390951866
ENSMUSG00000022498.16	Txndc11	13.20484375	14.339425	12.0702625	-0.230956288111665	0.0731658707350926	-3.28853764747989	0.00100709314461069	0.528226099925708
