Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000040809.10	Chil3	518.39639	155.16178	881.631	2.49876901634775	0.192569702468157	11.6177933309296	3.34668846494219e-31	1.14389811731724e-26
ENSMUSG00000021388.14	Aspn	32.69177	49.33832	16.04522	-1.56228984830449	0.1751247166596	-10.8741948603106	1.53000598708122e-27	2.61478023192181e-23
ENSMUSG00000036446.5	Lum	72.8687	109.50664	36.23076	-1.56956608760946	0.186862818229844	-10.4349143029826	1.71768675270173e-25	1.95701777357817e-21
ENSMUSG00000041559.7	Fmod	55.15271	76.08082	34.2246	-1.12978859555613	0.143797833542491	-10.1214285863948	4.4388872754607e-24	3.79302917688117e-20
ENSMUSG00000034295.9	Fhod3	6.289138	9.52404	3.054236	-1.37618666037343	0.201286854328863	-9.9173226688805	3.50018998244718e-23	2.39272987200089e-19
ENSMUSG00000027750.16	Postn	139.65001	224.0578	55.24222	-2.00057011928584	0.211854541505165	-9.72961926194451	2.25435152516397e-22	1.28422891883508e-18
ENSMUSG00000005800.3	Mmp8	113.43816	41.08112	185.7952	2.15021237521919	0.191713126115019	9.65952236208301	4.47947571607924e-22	2.06318919646942e-18
ENSMUSG00000040254.11	Sema3d	19.027024	25.18176	12.872288	-0.916356326417465	0.21736132488109	-9.65182205407324	4.82899753415896e-22	2.06318919646942e-18
ENSMUSG00000028339.17	Col15a1	16.821426	22.66204	10.980812	-0.981848769450883	0.221663325970745	-9.29254792302454	1.50638275553677e-20	5.72090695380519e-17
ENSMUSG00000026725.17	Tnn	25.230544	36.60384	13.857248	-1.33971308244591	0.186380527016874	-9.2626259326202	1.99465157654565e-20	6.81771908863302e-17
ENSMUSG00000031722.10	Hp	181.90801	82.63742	281.1786	1.754388115982	0.164204825320615	9.00932554186306	2.073275944288e-19	6.31335999661275e-16
ENSMUSG00000050860.6	Phospho1	48.07343	68.29676	27.8501	-1.26421158057029	0.169056885826301	-9.00199580883738	2.21651023871717e-19	6.31335999661275e-16
ENSMUSG00000074505.5	Fat3	11.308236	16.25458	6.361892	-1.22883086658779	0.223798728539562	-8.90590991786498	5.29499139330514e-19	1.392175429409e-15
ENSMUSG00000052276.8	Ostn	8.509643	13.61924	3.400046	-1.73227780137734	0.271168182481806	-8.89015375909815	6.10244042898298e-19	1.48986724187599e-15
ENSMUSG00000044006.8	Cilp2	6.072368	8.776496	3.36824	-1.1622653575548	0.192715233443026	-8.84150175062918	9.44405265381868e-19	2.15198479805015e-15
ENSMUSG00000027996.13	Sfrp2	6.740045	9.629708	3.850382	-1.13193168755622	0.221721491577739	-8.56845676962724	1.04881049830706e-17	2.24052142700845e-14
ENSMUSG00000021091.8	Serpina3n	19.642586	6.570432	32.71474	2.15493193820231	0.236345443942431	8.53095446865892	1.45145157963443e-17	2.91827147011205e-14
ENSMUSG00000028766.10	Alpl	80.27022	115.00118	45.53926	-1.31761930458075	0.23115754455976	-8.45761261516673	2.72906946664081e-17	5.00082422894603e-14
ENSMUSG00000026073.13	Il1r2	38.32026	14.46666	62.17386	2.03016604256019	0.231167029237047	8.45546130704622	2.77986133264993e-17	5.00082422894603e-14
ENSMUSG00000030772.6	Dkk3	8.424606	11.925736	4.923476	-1.12573050258134	0.186703642691585	-8.44291610759737	3.09517248446598e-17	5.28964977595235e-14
ENSMUSG00000024538.7	Ppic	39.98622	59.0537	20.91874	-1.45408826803328	0.227880066895725	-8.18905554255686	2.63284024683821e-16	4.28526093509191e-13
ENSMUSG00000039109.16	F13a1	98.91908	62.6198	135.21836	1.0983734264446	0.141888579731129	8.0938840987801	5.7791681368762e-16	8.90082385728435e-13
ENSMUSG00000025479.9	Cyp2e1	9.338779	2.918146	15.759412	2.09672847113653	0.255368543461686	8.08953210152059	5.98943676762844e-16	8.90082385728435e-13
ENSMUSG00000018672.15	Copz2	29.87265	42.77256	16.97274	-1.28421639225356	0.213970678458544	-8.04042114235606	8.95302320898864e-16	1.2362866134454e-12
ENSMUSG00000004473.10	Clec11a	13.981123	19.57344	8.388806	-1.13176943791249	0.200016162736437	-8.03920294993192	9.04247084146722e-16	1.2362866134454e-12
ENSMUSG00000032374.14	Plod2	46.32381	64.75042	27.8972	-1.1860704007979	0.222030993099934	-8.01938447444694	1.06276369158428e-15	1.39712549916734e-12
ENSMUSG00000041608.8	Entpd3	6.859855	10.489448	3.230262	-1.44149056258103	0.280494690130762	-7.83219146772266	4.79438647276609e-15	6.06933813478314e-12
ENSMUSG00000040270.16	Bach2	27.659658	42.31492	13.004396	-1.62898429041497	0.209578922740086	-7.80540551040707	5.93105271431149e-15	7.1088206448298e-12
ENSMUSG00000071984.10	Fndc1	40.40376	59.72358	21.08394	-1.45925926174876	0.19218195542684	-7.80328788218493	6.03147450848638e-15	7.1088206448298e-12
ENSMUSG00000022261.6	Sdc2	13.471289	17.40222	9.540358	-0.80395595157727	0.152533319471011	-7.76986532282679	7.85696198176513e-15	8.95169868455774e-12
ENSMUSG00000031740.8	Mmp2	82.28743	111.9833	52.59156	-1.07603182715956	0.185246144488406	-7.76122149681404	8.41152627140904e-15	9.27438606312132e-12
ENSMUSG00000029838.11	Ptn	18.184576	28.48224	7.886912	-1.73009203410511	0.26820340826737	-7.73825824118059	1.00787975448376e-14	1.07654156275797e-11
ENSMUSG00000031375.17	Bgn	293.3757	383.7884	202.963	-0.91575784445814	0.166517373337996	-7.72079042784649	1.15610505536339e-14	1.19744456946426e-11
ENSMUSG00000040690.15	Col16a1	36.16518	51.03256	21.2978	-1.22251331513699	0.217243564981496	-7.68010788199151	1.58954669974407e-14	1.59796194697801e-11
ENSMUSG00000035095.11	Fam167a	3.6903246	5.086848	2.2938012	-0.885941856785692	0.241337631107232	-7.65673337321891	1.90722019399804e-14	1.86253674945294e-11
ENSMUSG00000024598.8	Fbn2	3.0573772	4.645356	1.4693984	-1.19290494896558	0.258374827752962	-7.65302515314362	1.96305495765731e-14	1.86381162368685e-11
ENSMUSG00000050953.10	Gja1	108.93586	148.3996	69.47212	-1.08405176531477	0.19776456719899	-7.62528300176342	2.4349959498087e-14	2.24940977201247e-11
ENSMUSG00000019929.16	Dcn	233.6396	306.7926	160.4866	-0.930544090109644	0.1647536894486	-7.57376863221054	3.62549872633212e-14	3.26104069647452e-11
ENSMUSG00000032332.17	Col12a1	76.41896	102.76604	50.07188	-1.02273329135888	0.168982527787452	-7.5473246323293	4.44290180174706e-14	3.87597261749559e-11
ENSMUSG00000031762.7	Mt2	74.4821	36.88506	112.07914	1.5776318783487	0.194604515695692	7.54462367662715	4.53595391163908e-14	3.87597261749559e-11
ENSMUSG00000005583.16	Mef2c	163.80138	224.8828	102.71996	-1.12288086499148	0.173880743196541	-7.51147435821974	5.84651242094971e-14	4.8739949889771e-11
ENSMUSG00000059201.12	Lep	2.424062	0.77981	4.068314	1.50978266987998	0.306541647759063	7.4423858903844	9.88828647001354e-14	7.72153312812262e-11
ENSMUSG00000021643.15	Serf1	22.246827	33.85458	10.639074	-1.58237196057619	0.264237032434491	-7.44225302324229	9.89824007662631e-14	7.72153312812262e-11
