Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000048498.7	Cd300e	8.76386566666667	0.438198	17.0895333333333	3.65282097667878	0.757081037271689	6.59338392661836	4.29912901081048e-11	1.00853267464603e-06
ENSMUSG00000070369.13	Itgad	6.07777966666667	0.966242666666667	11.1893166666667	2.63210396064976	0.597708089504422	6.0606965710028	1.35533300269219e-09	1.5897378455078e-05
ENSMUSG00000072949.6	Acot1	13.4272083333333	1.74938333333333	25.1050333333333	3.24714802681578	0.48864303627241	5.98223686730696	2.20093889039544e-09	1.72106084765955e-05
ENSMUSG00000076680.1	Ighv6-6	90.39918	10.07146	170.7269	3.95519865783179	0.672244038804696	5.78313575755605	7.33208443858964e-09	4.30008422112186e-05
ENSMUSG00000098814.2	Igkv19-93	145.583733333333	37.3564666666667	253.811	2.73188582605908	0.493795532074162	5.37676298609072	7.58368979855205e-08	0.000355811557968465
ENSMUSG00000053846.4	Lipg	2.21277966666667	0.365343	4.06021633333333	1.88993563506705	0.61928715756854	5.32178520618699	1.02753855390534e-07	0.000401750448934423
ENSMUSG00000076534.6	Igkv12-89	65.00035	7.70106666666667	122.299633333333	3.8248324269867	0.757231623544237	5.17308072666147	2.30265468182933e-07	0.000738940283960846
ENSMUSG00000059089.4	Fcgr4	66.3693816666667	7.40203	125.336733333333	3.91039242700529	0.749746927962862	5.15621333268063	2.51993787957149e-07	0.000738940283960846
ENSMUSG00000098650.1	Gm28048	7.37733166666667	3.09906666666667	11.6555966666667	1.6264081679523	0.339055492580485	5.07707566947142	3.83288254595811e-07	0.000999062129395902
ENSMUSG00000091345.9	Col6a5	0.693948833333333	1.23942666666667	0.148471	-0.963414996052393	0.663262705417075	-5.04925522035194	4.4353585190792e-07	0.00103724942891892
ENSMUSG00000031762.7	Mt2	179.21465	236.849333333333	121.579966666667	-0.956324763992558	0.212208407802914	-5.03161328735752	4.86369568954691e-07	0.00103724942891892
ENSMUSG00000015854.7	Cd5l	15.5066016666667	3.36534	27.6478633333333	2.71426161184587	0.590759854467551	4.89019726034988	1.00734977090208e-06	0.00196928485629933
ENSMUSG00000089945.13	Pakap	0.117237166666667	0.234474333333333	0	-0.303896840889232	1.41131708090943	-4.84319489023263	1.27767855399364e-06	0.00222534764135642
ENSMUSG00000032315.6	Cyp1a1	0.6957655	1.27784266666667	0.113688333333333	-1.03232255212959	0.844283672883884	-4.83550864025189	1.32805605434971e-06	0.00222534764135642
ENSMUSG00000095788.6	Sirpb1a	10.2780178333333	1.519499	19.0365366666667	2.99142437014235	0.727777542878879	4.7342663284437	2.19848890236565e-06	0.00306028366557617
ENSMUSG00000038560.7	Sp6	4.12472883333333	7.94876066666667	0.300697	-2.78240297177266	0.9815344972164	-4.72754594650522	2.27249651705087e-06	0.00306028366557617
ENSMUSG00000096422.2	Igkv12-44	91.9543333333333	18.2409	165.667766666667	3.11472692754506	0.666505388320452	4.72434604465517	2.308570274784e-06	0.00306028366557617
ENSMUSG00000006542.13	Prkag3	9.04742116666667	16.3687066666667	1.72613566666667	-2.67156106499931	0.761468923805158	-4.72089045632804	2.34814382456077e-06	0.00306028366557617
ENSMUSG00000032915.6	Adgre4	4.79650733333333	1.22547133333333	8.36754333333333	2.07355982902015	0.552445362706804	4.67893202854481	2.88373012974542e-06	0.00356049605861568
ENSMUSG00000006403.13	Adamts4	2.0582765	3.64878666666667	0.467766333333333	-1.66323191082654	0.622420475365383	-4.66499750695115	3.08620780472166e-06	0.00361996744454828
ENSMUSG00000007682.6	Dio2	2.65144333333333	3.71209666666667	1.59079	-0.862977055097118	0.291931241743582	-4.59122938346138	4.40642718281314e-06	0.00453438967201182
ENSMUSG00000075394.4	Hoxc4	1.59831133333333	2.62864333333333	0.567979333333333	-1.21052371416808	0.51016085181206	-4.58976073326468	4.43754381005378e-06	0.00453438967201182
ENSMUSG00000079105.4	C7	3.51836266666667	6.24125666666667	0.795468666666667	-2.01187961185438	0.635044778747856	-4.5868179193913	4.50052859531111e-06	0.00453438967201182
ENSMUSG00000057777.4	Mab21l2	1.919148	3.19723333333333	0.641062666666667	-1.35480833643216	0.512733145876628	-4.57436585423041	4.77664533989321e-06	0.00453438967201182
ENSMUSG00000044288.6	Cnr1	0.666753166666667	1.12288266666667	0.210623666666667	-0.810274174697114	0.573872025708045	-4.5665568682171	4.95800576245532e-06	0.00453438967201182
ENSMUSG00000074505.5	Fat3	3.19591716666667	5.60508666666667	0.786747666666667	-1.88624158724392	0.621175888253017	-4.55342169907176	5.27803221602533e-06	0.00453438967201182
ENSMUSG00000043243.15	Fam129c	13.6925116666667	6.22181	21.1632133333333	1.61773469592755	0.347573989002985	4.54737094368317	5.43202088898805e-06	0.00453438967201182
ENSMUSG00000027452.11	Acss1	15.178965	7.39956333333333	22.9583666666667	1.51214332363728	0.334105399563537	4.54317465311311	5.54133026359332e-06	0.00453438967201182
ENSMUSG00000001661.5	Hoxc6	2.64955633333333	4.51150333333333	0.787609333333333	-1.62441440372136	0.608343801319217	-4.54075140265132	5.60540945855931e-06	0.00453438967201182
ENSMUSG00000020805.14	Slc13a5	4.619138	8.952851	0.285425	-2.95286440921988	1.04826473856654	-4.49173854142322	7.06441172348048e-06	0.00552413448737096
ENSMUSG00000026630.9	Batf3	13.195511	1.64110866666667	24.7499133333333	3.2853520100444	0.802539015759237	4.45597619208498	8.35123003988548e-06	0.00631972598405398
ENSMUSG00000014782.16	Plekhg4	2.67218616666667	4.42909666666667	0.915275666666667	-1.5031601167307	0.546514806294177	-4.44483466125503	8.79594871170036e-06	0.0063757766537474
ENSMUSG00000076666.2	Ighv14-4	98.9237866666667	13.6649733333333	184.1826	3.65850219462279	0.855955956363049	4.44064736661599	8.96886608865102e-06	0.0063757766537474
ENSMUSG00000029126.7	Nsg1	6.011345	8.0055	4.01719	-0.843926805414706	0.32258512562104	-4.39354274301092	1.11518250943142e-05	0.00769443132022111
ENSMUSG00000044338.9	Aplnr	4.01352	6.14634333333333	1.88069666666667	-1.31078747257743	0.410433487534115	-4.38400026461001	1.16519631019013e-05	0.00780981149735722
ENSMUSG00000030774.13	Pak1	19.8011516666667	27.0444333333333	12.55787	-1.04858388952713	0.261566656198802	-4.32827498886548	1.50281760669565e-05	0.00979294395429812
ENSMUSG00000051985.12	Igfn1	4.89139333333333	8.40484	1.37794666666667	-1.98368704185364	0.775933632780612	-4.30253557479871	1.68854548581301e-05	0.0107058347436993
ENSMUSG00000060284.7	Sp7	32.7991833333333	58.84131	6.75705666666667	-2.947560512005	0.768460945822422	-4.27531233137562	1.9086952332891e-05	0.0117831793362445
ENSMUSG00000024330.16	Col11a2	120.88475	229.383143333333	12.3863566666667	-4.1051998973062	0.971566042126142	-4.25759886891307	2.06634284662808e-05	0.0124009073288017
ENSMUSG00000041608.8	Entpd3	5.48485483333333	10.0608333333333	0.908876333333333	-2.53466453783766	0.766227885704198	-4.25244603229222	2.11448183278089e-05	0.0124009073288017
