Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000024730.7	Ms4a8a	5.39308875	2.024108	11.0080566666667	1.98942112166852	0.359570346641318	7.39728218686827	1.38999966795947e-13	3.50113116365631e-09
ENSMUSG00000004814.10	Ccl24	2.822395625	0.991101	5.87455333333333	1.78769957438384	0.340458394203705	6.79490282068924	1.08385563493549e-11	1.36500778663776e-07
ENSMUSG00000044206.3	Vsig4	11.17097125	5.193894	21.1327666666667	1.83726520531907	0.357464089645521	5.68208260861328	1.33064357250884e-08	0.000111720834347842
ENSMUSG00000009185.2	Ccl8	51.5566375	17.2424	108.747033333333	2.58881449113185	0.472377514503748	5.33172926763964	9.72818990968224e-08	0.000612584118612691
ENSMUSG00000023964.15	Calcr	0.735851125	0.424129	1.255388	0.663295811276472	0.307660641544896	5.01004995310372	5.44159090820548e-07	0.00274125583591759
ENSMUSG00000075370.11	Igll1	1.53906975	2.257072	0.342399333333333	-1.27876170751893	0.564470578165064	-4.94730604629458	7.52476190833806e-07	0.00315889504912032
ENSMUSG00000071516.2	Hist1h2ai	2.5744395	4.0647728	0.0905506666666667	-2.2154407540767	1.09250998619925	-4.71334703446234	2.4368066652374e-06	0.00825373395412398
ENSMUSG00000009670.11	Tex11	0.06947525	0.0014588	0.182836	0.240146988214725	1.35019855171534	4.69844627002644	2.62148132575003e-06	0.00825373395412398
ENSMUSG00000020649.11	Rrm2	41.5944475	57.8797	14.45236	-1.92994312655313	0.415168641598142	-4.67091560070223	2.99860134419391e-06	0.00839208562861734
ENSMUSG00000002068.16	Ccne1	7.56866	10.371908	2.89658	-1.54519399113529	0.400287624844188	-4.57668830669275	4.72394492244203e-06	0.0110949144138535
ENSMUSG00000028179.12	Cth	0.882968875	0.4664118	1.57723066666667	0.813531366521911	0.385315750265153	4.57137575266531	4.84532549437781e-06	0.0110949144138535
ENSMUSG00000059305.11	Vpreb1	1.554712875	2.180566	0.511624333333333	-1.07318387658729	0.465903056234396	-4.46393872515767	8.04665849486177e-06	0.0168899361807149
ENSMUSG00000096464.2	Ighv2-2	23.92356875	10.05323	47.0408	2.11979215688795	0.542229188608695	4.38072570266215	1.18284697924765e-05	0.0222293934514586
ENSMUSG00000079543.3	Igkv13-85	17.9647325	10.324012	30.6992666666667	1.48506428215599	0.391227220263685	4.37121780157201	1.23555466222178e-05	0.0222293934514586
ENSMUSG00000002870.8	Mcm2	9.2707525	11.73467	5.16422333333333	-1.04677053722608	0.262693263015688	-4.34612603217112	1.38562973270828e-05	0.0232674944716374
ENSMUSG00000096461.5	Igkv14-130	6.85417675	0.4573516	17.515552	3.66731667242069	1.36255655273042	4.22167622261937	2.4249226459747e-05	0.0381743447542567
ENSMUSG00000001228.14	Uhrf1	11.550365	14.971572	5.84835333333333	-1.22167727376703	0.299978292549487	-4.19090283280016	2.77846638944764e-05	0.0401711147684148
ENSMUSG00000079168.4	Cd209g	1.833839	0.7544884	3.63275666666667	1.40082049826363	0.45093222416453	4.1745228426106	2.98611258433155e-05	0.0401711147684148
ENSMUSG00000041052.8	Slc7a13	0.2056605	0.0637178	0.442231666666667	0.439187463810426	0.751734839140195	4.16948370636622	3.05290439619482e-05	0.0401711147684148
ENSMUSG00000017499.15	Cdc6	7.42073	10.134988	2.89696666666667	-1.51467650700948	0.416968203701584	-4.15948192380914	3.18970261778742e-05	0.0401711147684148
ENSMUSG00000050578.10	Mmp13	224.946	158.1604	336.255333333333	1.08335982812439	0.25400763776865	4.06805082771877	4.74080416868909e-05	0.0568625597147338
ENSMUSG00000005410.6	Mcm5	19.76682875	24.48968	11.89541	-0.983055618460006	0.23837819950787	-4.02257360751559	5.75656553326007e-05	0.0652919003369924
ENSMUSG00000028825.7	Rhd	23.3601775	32.87772	7.49760666666667	-1.99520831180643	0.483671996798142	-4.00488344883529	6.20480663165988e-05	0.0652919003369924
ENSMUSG00000061311.6	Rag1	0.207011625	0.3048928	0.0438763333333333	-0.321980483053801	0.680687920030897	-4.00425819948956	6.22123871719795e-05	0.0652919003369924
ENSMUSG00000029730.16	Mcm7	31.69085	39.18794	19.1957	-0.992714476022805	0.267295415827776	-3.97412587640428	7.06381998937119e-05	0.0711693991569126
ENSMUSG00000056895.4	Hist3h2ba	5.082415	7.280966	1.41816333333333	-1.77588737851407	0.548100161588941	-3.9574834181272	7.5743543662904e-05	0.0733780145300472
ENSMUSG00000103939.1	Ighv3-4	2.467314	3.7977802	0.249870333333333	-1.94058863361004	1.03615743108982	-3.92206574935887	8.7793026055978e-05	0.0819011385295546
ENSMUSG00000046959.16	Slc26a1	0.209263125	0.2957238	0.065162	-0.282685356240855	0.535029845766401	-3.90664652436606	9.35859022781806e-05	0.0830509433355838
ENSMUSG00000016283.13	H2-M2	1.4203285	0.8809616	2.31927333333333	0.819397039995702	0.345792951218021	3.90144539730545	9.5620031631409e-05	0.0830509433355838
ENSMUSG00000055612.15	Cdca7	16.57184625	20.59908	9.85979	-0.99197365750335	0.238914379677055	-3.86032744589406	0.000113235180892544	0.0924463963858555
ENSMUSG00000031170.14	Slc38a5	6.1891225	8.826446	1.79358333333333	-1.81455286430617	0.53930599878604	-3.85915894648807	0.000113777921548417	0.0924463963858555
ENSMUSG00000065987.12	Cd209b	0.730149	0.2099772	1.597102	1.10192281374382	0.656656095383031	3.84150061821879	0.000122284428115039	0.0962531304800501
ENSMUSG00000033825.9	Tpsb2	2.6405425	0.729571	5.825495	1.98051943877901	0.711663017871364	3.82733971664759	0.000129535680247677	0.0988710519417726
ENSMUSG00000020953.17	Coch	0.798239125	0.4889768	1.31367633333333	0.635865780689162	0.365981917513961	3.81169347171795	0.000138017966081426	0.0996812643199037
ENSMUSG00000034488.14	Edil3	1.959	1.593276	2.56854	0.460558184758334	0.187816874906401	3.81081006928924	0.00013851215861508	0.0996812643199037
ENSMUSG00000047844.3	Bex4	2.64695525	3.70074	0.890647333333333	-1.31400760738264	0.506987157557205	-3.79916159554132	0.000145186407650653	0.0998829611783092
ENSMUSG00000026077.15	Npas2	0.623807125	0.4177884	0.967171666666667	0.472480629528631	0.329817603064737	3.79003092139908	0.000150628532693828	0.0998829611783092
ENSMUSG00000018581.15	Dnah11	0.1148605	0.0309254	0.254752333333333	0.283462688993007	1.08251123486926	3.78452762776084	0.000154000800202172	0.0998829611783092
