Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000040564.14	Apoc1	20.1875028571429	2.776105	43.4027	3.55567661879411	0.336980131820402	10.8651573515789	1.68931710990391e-27	4.15183466101085e-23
ENSMUSG00000044206.3	Vsig4	10.1603257142857	1.930995	21.1327666666667	2.91672139186776	0.296703144617175	10.498883541298	8.74077814592364e-26	1.07411052246183e-21
ENSMUSG00000075370.11	Igll1	2.32617828571429	3.8140125	0.342399333333333	-1.84242598348507	0.450219840338717	-8.5673280627231	1.05913832103497e-17	8.67681417202546e-14
ENSMUSG00000024803.8	Ankrd1	17.96924	4.79162	35.5394	2.65741409172214	0.340410121799526	8.01472395199649	1.10384654044743e-15	6.78230910614412e-12
ENSMUSG00000059305.11	Vpreb1	2.41723042857143	3.846435	0.511624333333333	-1.68082425449999	0.431055074792306	-7.40530466569118	1.30849711592177e-13	6.43178672360189e-10
ENSMUSG00000042385.14	Gzmk	1.45995142857143	0.2624975	3.05655666666667	1.68397511073288	0.446207149724139	7.31378737441877	2.59715998272051e-13	1.06384001492203e-09
ENSMUSG00000061311.6	Rag1	0.399322571428571	0.66590725	0.0438763333333333	-0.674357272528759	0.585833542181654	-7.03416164180276	2.00462625547446e-12	7.03824278297081e-09
ENSMUSG00000004814.10	Ccl24	3.02501714285714	0.887865	5.87455333333333	1.86451037681715	0.335151805686981	6.78049898914152	1.19761515377347e-11	3.52492794613653e-08
ENSMUSG00000023905.14	Tnfrsf12a	13.7873285714286	6.083625	24.0589333333333	1.82276526134661	0.261647877003147	6.7696643974535	1.29081464439227e-11	3.52492794613653e-08
ENSMUSG00000040229.11	Gpr34	3.62651857142857	1.6318375	6.28609333333333	1.46907506166497	0.269090122108019	6.36966630682767	1.89439906224362e-10	4.65586457527614e-07
ENSMUSG00000095351.2	Igkv3-2	157.431114285714	33.2795	322.9666	3.24042711157742	0.461786203267271	6.16920635103095	6.86336105765898e-10	1.53346204285532e-06
ENSMUSG00000024730.7	Ms4a8a	5.80275	1.89877	11.0080566666667	2.05048991638194	0.404252188841752	5.99322308888249	2.05722326660269e-09	4.21336468527453e-06
ENSMUSG00000026077.15	Npas2	0.511352571428571	0.16948825	0.967171666666667	0.750245494123268	0.415736289002088	5.94048599086357	2.84178343688098e-09	5.37250088678644e-06
ENSMUSG00000062329.4	Cytl1	38.7709242857143	5.0120925	83.7827	3.81783080001295	0.603586930618355	5.75004506111448	8.92196667111695e-09	1.56625124911458e-05
ENSMUSG00000020649.11	Rrm2	24.2310542857143	31.565075	14.45236	-1.07549835518631	0.247666347926138	-5.73384031002917	9.81817762520180e-09	1.60867567663056e-05
ENSMUSG00000002068.16	Ccne1	5.37762428571429	7.2384075	2.89658	-1.08015705227097	0.288109121843865	-5.70516718363187	1.16228950844333e-08	1.78534932806324e-05
ENSMUSG00000042045.6	Sln	4.38180285714286	1.606215	8.08258666666667	1.80114712289643	0.386814460073374	5.6330103402398	1.77090835800235e-08	2.56021263027199e-05
ENSMUSG00000025014.12	Dntt	1.14368642857143	1.62314	0.504415	-0.802092211777748	0.336902316409325	-5.57931386553964	2.414691840293e-08	3.29699340882673e-05
ENSMUSG00000021950.15	Anxa8	27.6761071428571	4.1483375	59.0464666666667	3.54390081761464	0.61142638733443	5.28012902558877	1.29092947484227e-07	0.000166985124753676
ENSMUSG00000042734.6	Ttc9	3.07785428571429	1.543455	5.12372	1.26761874919867	0.265596736377875	5.13705224982368	2.79081381459384e-07	0.000342949155606364
ENSMUSG00000029195.10	Klb	0.229919428571429	0.049588	0.470361333333333	0.48634760237556	0.561596346471119	5.0816500306829	3.74170309966316e-07	0.000437903986097245
ENSMUSG00000017499.15	Cdc6	4.59792	5.873635	2.89696666666667	-0.818721653307646	0.262655398325272	-4.9606619172178	7.02533728750702e-07	0.000784825975068454
ENSMUSG00000054191.8	Klf1	4.99182285714286	6.7509925	2.64626333333333	-1.08796229994699	0.317788599977971	-4.85209909641553	1.22161552270936e-06	0.00130537585659252
ENSMUSG00000029730.16	Mcm7	24.4737285714286	28.43225	19.1957	-0.543349683913379	0.194450882872449	-4.78737515558052	1.68976786540098e-06	0.001730392701165
ENSMUSG00000022225.7	Cma1	3.02025242857143	0.64920675	6.18164666666667	2.12254240376866	0.569280020458368	4.77883285449688	1.76315687425207e-06	0.00173332425993972
ENSMUSG00000012705.16	Retn	8.50700714285714	3.1676125	15.6262	1.99616542245887	0.391203203041516	4.69833035840457	2.62296922553136e-06	0.00247941210214939
ENSMUSG00000038665.15	Dgki	1.19747542857143	0.6112545	1.97910333333333	0.886693778020193	0.300223415614312	4.67618938670207	2.92254720736771e-06	0.00265963505024223
ENSMUSG00000050410.15	Tcf19	7.33341	9.0214225	5.08272666666667	-0.720297225886434	0.231516454387215	-4.66877161519287	3.03005986925916e-06	0.00265963505024223
ENSMUSG00000076615.4	Ighg3	18.0094415714286	27.794925	4.96213033333333	-2.27191474597667	0.577743261008009	-4.65512144699521	3.23789794240871e-06	0.00274406268036479
ENSMUSG00000079168.4	Cd209g	1.92817371428571	0.6497365	3.63275666666667	1.48963529544627	0.401313364685773	4.58808942162536	4.47321037120997e-06	0.00366460304310758
ENSMUSG00000006403.13	Adamts4	0.380295571428571	0.1417775	0.698319666666667	0.572826498294894	0.421825234022468	4.54244559164395	5.56053506854338e-06	0.00440842807676099
ENSMUSG00000025172.2	Ankrd2	60.9998857142857	28.131275	104.8247	1.86103564782377	0.359789834377629	4.50073260541849	6.77196526237925e-06	0.00520108094542171
ENSMUSG00000026051.8	1500015O10Rik	51.4473928571429	11.6944875	104.451266666667	3.05430236769796	0.579499873167189	4.46494292977203	8.00900974123612e-06	0.00596477067910182
ENSMUSG00000061068.7	Mcpt4	3.35951142857143	0.555918	7.097636	2.37973476391872	0.696076481059316	4.45368541289016	8.44087496637061e-06	0.00610151129554384
ENSMUSG00000027894.14	Slc6a17	0.504149714285714	0.203488	0.905032	0.662593475015946	0.340738362804468	4.43123345489183	9.3695580974316e-06	0.00657930369601647
ENSMUSG00000033825.9	Tpsb2	2.69378114285714	0.34499575	5.825495	2.34333206319027	0.787966005418074	4.42086141830039	9.8308209096296e-06	0.00671144681933241
ENSMUSG00000030787.4	Lyve1	4.92458342857143	1.1597685	9.94433666666667	2.34123592876802	0.570426187208065	4.40898436178289	1.03856523421958e-05	0.0068985993949769
ENSMUSG00000022303.9	Dcstamp	9.04972285714286	4.1016025	15.6472166666667	1.70625858748894	0.355323029106613	4.38657111051559	1.15151529878047e-05	0.00744757671003357
ENSMUSG00000032221.14	Mns1	4.05710714285714	5.066155	2.71171	-0.708698366095288	0.272459759661809	-4.35780526023048	1.3137319474547e-05	0.00825212062052335
ENSMUSG00000029306.8	Ibsp	378.656	204.6815	610.622	1.57222826461969	0.274695955954207	4.35126028392702	1.35357253255756e-05	0.00825212062052335
ENSMUSG00000051504.18	Siglech	2.45329571428571	2.95986	1.77787666666667	-0.511466877671456	0.237543792288619	-4.34755420653166	1.37664053969751e-05	0.00825212062052335
ENSMUSG00000028111.4	Ctsk	840.021	366.7175	1471.09233333333	2.0011984212776	0.363252267341798	4.33255571553397	1.47388347623725e-05	0.00862467480844829
ENSMUSG00000069515.6	Lyz1	8.42754714285714	2.7721425	15.9680866666667	2.16936781199008	0.465847514737297	4.32656812389366	1.51450494358959e-05	0.0086562762787445
ENSMUSG00000043243.15	Fam129c	8.16434714285714	11.259165	4.03792333333333	-1.28295964454098	0.34196566573531	-4.31956562444564	1.56336615224685e-05	0.00873246589176611
ENSMUSG00000045733.7	Sprn	0.205115	0.0738175	0.380178333333333	0.362105868388304	0.717083112378284	4.30411115039155	1.67657480249141e-05	0.00912918596924468
ENSMUSG00000026228.6	Htr2b	0.203132428571429	0.04366225	0.415759333333333	0.439921138324968	0.708082216244975	4.29937107309843	1.71283481846926e-05	0.00912918596924468
ENSMUSG00000079190.3	AC133103.1	0.503814	0.18016275	0.935349	0.713607922173555	0.477492201964645	4.29233519520273	1.76803771976407e-05	0.00912918596924468
ENSMUSG00000021091.8	Serpina3n	33.8711328571429	7.5908575	68.9115	3.02465574247262	0.59983501854172	4.29046777445593	1.78297158531857e-05	0.00912918596924468
ENSMUSG00000041052.8	Slc7a13	0.20056	0.01930625	0.442231666666667	0.500715350730715	1.05841160965721	4.2807587472752	1.86257188842858e-05	0.00934212842896107
ENSMUSG00000055116.8	Arntl	4.33684428571429	2.670785	6.55825666666667	1.04196489368519	0.262835202710748	4.25538076219894	2.08693559199316e-05	0.0102581232088832
ENSMUSG00000055003.14	Lrtm2	0.842142	1.1064735	0.4897	-0.499807940595449	0.353690179962134	-4.24635526071386	2.17276027901819e-05	0.0104228118960946
ENSMUSG00000009185.2	Ccl8	56.6889428571429	17.645375	108.747033333333	2.55729222322937	0.508743198947575	4.24248896578006	2.21054413191616e-05	0.0104228118960946
