Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000024803.8	Ankrd1	14.4152033333333	4.79162	22.11407	1.99673246409496	0.332919444334439	5.49743610043889	3.85352881224702e-08	0.000966387955535306
ENSMUSG00000023905.14	Tnfrsf12a	11.9217222222222	6.083625	16.5922	1.31237616653335	0.214575914602299	5.14692579061384	2.64790016174575e-07	0.00320471097447999
ENSMUSG00000042834.14	Nrep	25.7108111111111	34.989125	18.28816	-0.899845502978082	0.249524135542575	-5.07703552982764	3.83369205017943e-07	0.00320471097447999
ENSMUSG00000040147.14	Maob	5.04218111111111	6.3105075	4.02752	-0.540124646711992	0.209047307239024	-4.60118409467039	4.20095923836364e-06	0.0263379139449208
ENSMUSG00000110637.1	Gm7807	0.31707	0	0.570726	0.651431536508971	1.24508988295219	4.40905721632466	1.03821595668571e-05	0.0478367736322029
ENSMUSG00000064360.1	mt-Nd3	4388.00444444444	6218.5625	2923.558	-1.08859450007843	0.322072182175499	-4.3878984872241	1.14451169069789e-05	0.0478367736322029
ENSMUSG00000000903.3	Vpreb3	11.2004477777778	13.780175	9.136666	-0.544080130596139	0.20686898019594	-4.34687559356791	1.38090489683158e-05	0.0494719042896321
ENSMUSG00000026390.7	Marco	4.60967155555556	1.298791	7.258376	1.8449827992409	0.532022640605225	4.30125855423251	1.6983075688837e-05	0.0523234082126922
ENSMUSG00000020953.17	Coch	1.04385877777778	1.73746125	0.4889768	-0.878517267639577	0.518377006850064	-4.27894838072342	1.87778400954713e-05	0.0523234082126922
ENSMUSG00000076677.1	Ighv6-3	59.7245444444444	19.136075	92.19532	2.21047501354968	0.468111491875178	4.24266301247608	2.20882987967564e-05	0.0541930340483339
ENSMUSG00000039419.17	Cntnap2	0.638440777777778	0.95807925	0.38273	-0.501919681942833	0.339832050742574	-4.22616501719892	2.37707701783106e-05	0.0541930340483339
ENSMUSG00000057836.12	Xlr3a	0.694804444444444	1.0304805	0.4262636	-0.509580528947652	0.408946784638812	-4.09340474527978	4.25084751657314e-05	0.0840113219054537
ENSMUSG00000029195.10	Klb	0.183967	0.049588	0.2914702	0.29919122365829	0.526779282883989	4.08628728527895	4.3833098082194e-05	0.0840113219054537
ENSMUSG00000024726.9	Carnmt1	27.2265111111111	36.047025	20.1701	-0.807329609807832	0.28488871103397	-4.03430144188448	5.47649766525077e-05	0.0840113219054537
ENSMUSG00000031431.13	Tsc22d3	73.9451888888889	82.800425	66.861	-0.304374870910749	0.148998763653483	-4.0265123266797	5.66102730400258e-05	0.0840113219054537
ENSMUSG00000064358.1	mt-Co3	11895.2911111111	16657.8625	8085.234	-1.04275003586724	0.344542705628795	-4.02216174999128	5.76664333889342e-05	0.0840113219054537
ENSMUSG00000062329.4	Cytl1	16.1503766666667	5.0120925	25.061004	2.11595355344282	0.471326862310428	4.02134746591836	5.78661737985036e-05	0.0840113219054537
ENSMUSG00000044676.10	Zfp612	0.963393222222222	1.4345125	0.5864978	-0.617787387472578	0.37643810836544	-4.01154674616392	6.03222293686359e-05	0.0840113219054537
ENSMUSG00000001583.13	Tnk1	0.740643333333333	0.36062125	1.044661	0.587596141322657	0.371096162424783	3.99885366529445	6.36500165963641e-05	0.0840113219054537
ENSMUSG00000021872.8	Rnase10	0.512960222222222	0.18482425	0.775469	0.583527096943419	0.437546869784746	3.95609550621014	7.61847132520604e-05	0.093580212545942
ENSMUSG00000013584.5	Aldh1a2	6.81343111111111	3.6140775	9.372914	1.16870709722845	0.261352270269589	3.94935248316873	7.83628863332316e-05	0.093580212545942
ENSMUSG00000078173.3	Lenep	0.327949888888889	0.00174625	0.5889128	0.665522842229055	1.72761288431893	3.90307042966272	9.49800496084272e-05	0.108268622003643
ENSMUSG00000037379.7	Spon2	2.29454788888889	0.94798025	3.371802	1.16624901203932	0.397614931418715	3.87926464346471	0.000104772718975198	0.114238706367827
ENSMUSG00000024411.9	Aqp4	1.53691688888889	2.2832725	0.9398324	-0.75920248338841	0.414364437405259	-3.80170107232835	0.000143706045954665	0.143725637004981
ENSMUSG00000022015.8	Tnfsf11	2.05809111111111	1.194565	2.748912	0.772536959479202	0.225421116164223	3.77664551679862	0.000158954707795127	0.143725637004981
ENSMUSG00000007783.10	Cpt1c	4.72359777777778	3.119445	6.00692	0.766330443976284	0.134766275497059	3.76380360112039	0.00016734833370959	0.143725637004981
ENSMUSG00000048416.15	Mlf1	69.1448888888889	103.561525	41.61158	-1.29503463620797	0.425118557895885	-3.7631038675464	0.000167817459922849	0.143725637004981
ENSMUSG00000030483.14	Cyp2b10	0.402318555555556	0.1693875	0.5886634	0.442060409258536	0.581180774006857	3.75782219603679	0.000171398598239043	0.143725637004981
ENSMUSG00000027173.7	Depdc7	0.984379111111111	1.224882	0.7919768	-0.31217686305647	0.240532566909864	-3.75188052861251	0.000175513103599839	0.143725637004981
ENSMUSG00000094475.7	Gm11007	5.22800444444444	0.512755	9.000204	2.72477917245022	1.01976533848949	3.75013994241107	0.000176735910112018	0.143725637004981
ENSMUSG00000040564.14	Apoc1	8.91470333333333	2.776105	13.825582	1.97311795442703	0.514953693544326	3.73440511868119	0.000188159409213346	0.143725637004981
ENSMUSG00000037071.2	Scd1	165.730311111111	82.64345	232.1998	1.47924207683914	0.302648890114364	3.73368913899257	0.000188695370547836	0.143725637004981
ENSMUSG00000094491.2	Igkv1-133	5.80713633333333	9.83101	2.5880374	-1.59390094822271	0.597825347508975	-3.7294441752845	0.000191902614679469	0.143725637004981
ENSMUSG00000062609.13	Kcnj15	0.847790222222222	0.392888	1.211712	0.667084278319838	0.329444040794256	3.72559000537802	0.000194858906538375	0.143725637004981
ENSMUSG00000034825.14	Nrip3	0.652092444444444	0.204204	1.0104032	0.739405057963218	0.516449093305237	3.70206351921043	0.000213853059113574	0.149038406422414
ENSMUSG00000022490.7	Ppp1r1a	20.2709322222222	30.364225	12.196298	-1.2489866521008	0.431114274951097	-3.69109706673174	0.000223288899956472	0.149038406422414
ENSMUSG00000032591.15	Mst1	0.931395111111111	0.4208185	1.3398564	0.719697720703208	0.357541218070679	3.67958932768099	0.000233609850660772	0.149038406422414
ENSMUSG00000019970.15	Sgk1	41.2000333333333	46.2082	37.1935	-0.30571034290102	0.188104236219394	-3.66273450035689	0.000249537137919244	0.149038406422414
ENSMUSG00000040350.16	Trim7	9.77237666666667	10.402715	9.268106	-0.151207278323182	0.136696861715674	-3.66117214473835	0.000251063991010944	0.149038406422414
ENSMUSG00000002910.11	Arrdc2	17.23801	23.149	12.509218	-0.838019284241027	0.316246028211281	-3.65238065973662	0.000259820353525337	0.149038406422414
ENSMUSG00000069814.6	Ccdc92b	0.991060555555556	0.4530695	1.4214534	0.736769530646489	0.369607166393492	3.65101355702991	0.000261207449991389	0.149038406422414
ENSMUSG00000026228.6	Htr2b	0.180745	0.04366225	0.2904112	0.306175962955776	0.646770210409576	3.64392551897862	0.000268511151306245	0.149038406422414
ENSMUSG00000103092.1	Pcdha5	0.027125	0	0.048825	0.0687739794462984	1.52673234836343	3.63943680374413	0.000273234981259786	0.149038406422414
ENSMUSG00000022018.7	Rgcc	82.1773555555556	55.395375	103.60294	0.891274644175703	0.158142698687831	3.63626808457016	0.000276616453883327	0.149038406422414
ENSMUSG00000080904.1	Gm11966	12.7856833333333	27.8878225	0.703972	-4.08348792662286	1.50962783575544	-3.63623842770995	0.000276648286407093	0.149038406422414
ENSMUSG00000079508.8	Apoo	60.9611	77.658375	47.60328	-0.694546704395345	0.285983552925606	-3.63404673297018	0.000279010291040966	0.149038406422414
ENSMUSG00000064345.1	mt-Nd2	8597.88	11971.945	5898.628	-1.02108216382975	0.363667668085646	-3.63375997776239	0.000279320723417078	0.149038406422414
ENSMUSG00000062488.9	Ifit3b	4.60574444444444	5.332865	4.024048	-0.334008077401768	0.199993711218736	-3.62278796070647	0.000291444724784049	0.152150193543906
ENSMUSG00000028229.11	Rmdn1	15.9977444444444	18.3407	14.12338	-0.35485940063218	0.22310917792514	-3.58725165163235	0.000334181768622002	0.152150193543906
ENSMUSG00000095547.1	Gm10719	0.489944555555556	0.038319	0.851245	0.834246091787653	1.209068713615	3.58569451987271	0.000336182306414596	0.152150193543906
ENSMUSG00000083563.1	Gm13340	13.2128822222222	17.0482225	10.14461	-0.695510627527902	0.307285650729846	-3.58210215915068	0.000340840446337569	0.152150193543906
ENSMUSG00000039092.9	Sptlc3	0.429350555555556	0.12578225	0.6722052	0.570824087790032	0.581077440910945	3.58067096836319	0.000342713007112431	0.152150193543906
ENSMUSG00000075232.5	Amd1	85.2128111111111	105.959575	68.6154	-0.619587245176414	0.266164607215795	-3.58050264862311	0.000342933866971632	0.152150193543906
ENSMUSG00000090877.3	Hspa1b	1.63766022222222	0.8650805	2.255724	0.803740501129143	0.29761142262094	3.57863172292452	0.000345397774128007	0.152150193543906
ENSMUSG00000047129.11	1700113H08Rik	0.437332222222222	0.729269	0.2037828	-0.522587199483568	0.602457977880672	-3.57548481917401	0.000349579461695065	0.152150193543906
ENSMUSG00000083863.1	Gm13341	3.44841111111111	4.8021375	2.36543	-0.785793635830037	0.38550130845211	-3.57085364054016	0.0003558196893827	0.152150193543906
ENSMUSG00000064357.1	mt-Atp6	17057.6777777778	24799.475	10864.24	-1.19064771035309	0.425335955843412	-3.56650914745569	0.000361768187647134	0.152150193543906
ENSMUSG00000023963.9	Cyp39a1	1.91625444444444	2.2071175	1.683564	-0.257126915957765	0.205281206346853	-3.56268704135736	0.000367078193140801	0.152150193543906
ENSMUSG00000028444.17	Cntfr	2.09729766666667	2.931105	1.4302518	-0.693829098564325	0.329240286013335	-3.55650213752668	0.000375825423887969	0.152150193543906
ENSMUSG00000022748.7	Cmss1	15.6238888888889	18.3443	13.44756	-0.421082662462026	0.214981085097966	-3.55417145838553	0.000379171928459192	0.152150193543906
ENSMUSG00000062184.11	Hs6st2	0.284313777777778	0.41998725	0.175775	-0.272265967967435	0.403818768926326	-3.55275533805127	0.000381218845564409	0.152150193543906
ENSMUSG00000063320.11	1190007I07Rik	16.3588111111111	19.077575	14.1838	-0.403052134398903	0.213518940480666	-3.55090126612839	0.000383914410230574	0.152150193543906
ENSMUSG00000061780.6	Cfd	309.816	168.46075	422.9002	1.32277348779441	0.282909487756353	3.54335665174173	0.000395068022908528	0.152150193543906
ENSMUSG00000024014.7	Pim1	17.3370744444444	9.7606925	23.39818	1.18100260797884	0.254411570747957	3.5415478549396	0.000397786694542505	0.152150193543906
ENSMUSG00000070438.5	Olfr313	0.165083666666667	0.24667525	0.0998104	-0.180830868198107	0.465393619850801	-3.53717509884597	0.000404431442576579	0.152150193543906
ENSMUSG00000025777.8	Gdap1	2.17253222222222	3.1292725	1.40714	-0.778567576515183	0.41279849986656	-3.53660313294781	0.000405308218227267	0.152150193543906
ENSMUSG00000062563.15	Cys1	3.09859111111111	3.6874175	2.62753	-0.369805753280359	0.236880669121135	-3.53023393835593	0.000415192374404107	0.152150193543906
ENSMUSG00000064363.1	mt-Nd4	9786.33	13005.1175	7211.3	-0.850659049652338	0.327691162806396	-3.52917244199288	0.000416861402927879	0.152150193543906
ENSMUSG00000043243.15	Fam129c	8.61696888888889	11.259165	6.503212	-0.708280490437668	0.28748298984521	-3.52805294615187	0.000418628413530963	0.152150193543906
ENSMUSG00000064341.1	mt-Nd1	13708.6555555556	18007.75	10269.38	-0.810208484452343	0.318458760179021	-3.52357749246902	0.000425762574957567	0.152532483639798
ENSMUSG00000044206.3	Vsig4	3.74371666666667	1.930995	5.193894	1.07945618654869	0.308223250462094	3.50483229801327	0.000456894987736384	0.161380457781029
ENSMUSG00000026077.15	Npas2	0.307432777777778	0.16948825	0.4177884	0.277764864594637	0.347722457141172	3.49289477956442	0.000477814742077688	0.165968885220621
ENSMUSG00000022940.16	Pigp	67.6086555555556	79.6736	57.9567	-0.452440862255967	0.226251523370672	-3.48994398290829	0.000483121804813196	0.165968885220621
ENSMUSG00000018986.10	Slfn3	1.74637888888889	1.0577425	2.297288	0.680217445197845	0.224073364470185	3.4820907222095	0.000497515106167625	0.168603835573942
ENSMUSG00000040740.7	Slc25a34	2.01821066666667	3.0138025	1.2217372	-0.853281453875399	0.460448357543071	-3.45618528787002	0.000547878569295245	0.180604840302295
ENSMUSG00000027656.7	Wisp2	10.0103977777778	4.466145	14.4458	1.49861896012996	0.377635924872005	3.45433383366431	0.000551654049420163	0.180604840302295
ENSMUSG00000064368.1	mt-Nd6	7928.75888888889	10469.6925	5896.012	-0.828300825862614	0.327396642715337	-3.45293005659392	0.000554532765901456	0.180604840302295
ENSMUSG00000065947.3	mt-Nd4l	8756.34888888889	11875.4075	6261.102	-0.923379587577003	0.355714951412911	-3.44791612926474	0.000564929431044694	0.181632054765883
ENSMUSG00000055865.8	Fam19a3	2.07568111111111	2.3350325	1.8682	-0.217555193707556	0.282135359686687	-3.43653734083532	0.000589201128655001	0.187037796258356
ENSMUSG00000004885.5	Crabp2	1.39834644444444	0.544183	2.0816772	0.99687201464983	0.460116909698289	3.42679153297378	0.000610757758082126	0.191301514250644
ENSMUSG00000027513.11	Pck1	3.81919555555556	1.6494175	5.555018	1.30692453796059	0.4191718073815	3.42279489771593	0.000619808254461422	0.191301514250644
ENSMUSG00000021456.8	Fbp2	13.5387977777778	18.6397	9.458076	-0.909155432830397	0.368949745486147	-3.42030163883121	0.000625517352601995	0.191301514250644
ENSMUSG00000030647.8	Ndufc2	149.728666666667	160.1715	141.3744	-0.178906892182199	0.155786890129389	-3.40364467607421	0.000664931894951989	0.200905567007301
ENSMUSG00000055866.9	Per2	2.75924555555556	3.13952	2.455026	-0.26076692171422	0.197364825850155	-3.38965778436423	0.00069979923625243	0.206919929682363
ENSMUSG00000058927.5	Gm10053	182.301444444444	219.53025	152.5184	-0.522564982293046	0.247930004686777	-3.38864451269714	0.000702390060302622	0.206919929682363
ENSMUSG00000109523.1	Gdf1	0.406990888888889	0.674869	0.1926884	-0.489831083588918	0.62812294497691	-3.38584649947022	0.000709590635325113	0.206919929682363
ENSMUSG00000049791.4	Fzd4	8.48628888888889	9.4623725	7.705422	-0.26522390133866	0.179620231784413	-3.38143506982411	0.000721082722640211	0.207555083207158
ENSMUSG00000021091.8	Serpina3n	17.9055144444444	7.5908575	26.15724	1.66046281855366	0.404961915157848	3.37868974291691	0.000728321529716482	0.207555083207158
ENSMUSG00000031596.15	Slc7a2	4.72747111111111	5.35494	4.225496	-0.282310520947214	0.198444232191086	-3.3509089644782	0.000805467768539591	0.226960906735234
ENSMUSG00000115022.1	Hacl1	0.0881641111111111	0.1878765	0.0083942	-0.236325125850035	1.40955103728346	-3.34577322984411	0.000820534724430445	0.228146311926474
ENSMUSG00000020847.15	Rph3al	2.90163444444444	3.620435	2.326594	-0.473982882698454	0.255864023327652	-3.34330463943563	0.000827869622191131	0.228146311926474
ENSMUSG00000081851.1	Gm13323	0.960868555555556	0.52745175	1.307602	0.595267610790681	0.298258261388185	3.33439532804111	0.0008548506740174	0.23302114351096
ENSMUSG00000052026.7	Slc6a7	0.712619555555556	0.38806625	0.9722622	0.506774934906949	0.304274645851557	3.32941102452087	0.000870298660549702	0.233419557692763
ENSMUSG00000020386.5	Sar1b	142.691655555556	180.113	112.75458	-0.670965471901062	0.293536949340373	-3.32793341237506	0.000874927762306394	0.233419557692763
ENSMUSG00000047545.5	Olfr629	0.143496111111111	0.0355505	0.2298526	0.248087506164055	0.774819562558565	3.31734644870531	0.000908768528003579	0.239895759423934
ENSMUSG00000059447.13	Hadhb	122.784655555556	146.055	104.16838	-0.483654829859027	0.264763528639409	-3.29954722790819	0.000968409312910948	0.24601463169304
ENSMUSG00000039452.6	Snx22	3.69510333333333	1.53886	5.420098	1.33841447677818	0.42027844360164	3.29909934774992	0.00096995577120364	0.24601463169304
ENSMUSG00000021118.7	Plek2	1.85357322222222	0.6180735	2.841973	1.24757023750186	0.548763889140294	3.29466847888645	0.000985378555678145	0.24601463169304
ENSMUSG00000030615.12	Tmem126a	50.5584333333333	60.043	42.97078	-0.473280741328184	0.241282275205977	-3.2908684810193	0.000998785974836714	0.24601463169304
ENSMUSG00000024972.16	Lgals12	2.50655777777778	1.4407275	3.359222	0.836759445518956	0.271701799351564	3.28915985072546	0.00100486935547411	0.24601463169304
ENSMUSG00000012705.16	Retn	6.28344333333333	3.1676125	8.776108	1.23003907952578	0.337638318003101	3.28798270818088	0.00100908037123649	0.24601463169304
ENSMUSG00000094526.1	Gm21451	0.358255333333333	0.17568	0.5043156	0.35561183432365	0.352591458537261	3.28468168939003	0.00102097646226029	0.24601463169304
ENSMUSG00000059430.14	Actg2	1.17122722222222	0.5807655	1.6435966	0.741878679636759	0.408671885921331	3.28387229821851	0.00102391306550192	0.24601463169304
ENSMUSG00000024529.13	Lox	18.7963155555556	10.97301	25.05496	1.12177215028268	0.253033020586988	3.28360916244226	0.00102486944760347	0.24601463169304
ENSMUSG00000000948.16	Gm38393	0.141227444444444	0.227038	0.072579	-0.194096016093916	0.549680901605084	-3.28218836846706	0.00103004770427344	0.24601463169304
ENSMUSG00000041842.15	Fhdc1	5.55489	3.15916	7.471474	1.02632082859444	0.303373047671399	3.2714658832642	0.00106991496781215	0.249849010075385
ENSMUSG00000096712.1	Gm15454	0.816947333333333	0.2172485	1.2967064	0.915942718451684	0.674044885592412	3.26986358685379	0.00107599359522398	0.249849010075385
ENSMUSG00000022900.14	Ildr1	0.338644666666667	0.461185	0.2406124	-0.236086398776618	0.390939557586166	-3.26810383290787	0.00108270636684686	0.249849010075385
ENSMUSG00000059305.11	Vpreb1	2.92095222222222	3.846435	2.180566	-0.607640377912702	0.343558237299249	-3.26166418833324	0.0011076026908835	0.249849010075385
ENSMUSG00000063694.5	Cycs	33.0596	39.009375	28.29978	-0.449448259947233	0.259703547937703	-3.26119621926506	0.00110943238252046	0.249849010075385
ENSMUSG00000074207.10	Adh1	11.6282822222222	13.227425	10.348968	-0.326113459963892	0.202692828841404	-3.26001669067409	0.00111405657666642	0.249849010075385
ENSMUSG00000056656.6	Apol8	5.32411444444444	1.9128625	8.053116	1.63597683865781	0.472655218712342	3.2595624451127	0.0011158421376682	0.249849010075385
ENSMUSG00000028982.9	Slc25a33	4.46975666666667	5.6104825	3.557176	-0.536615488970453	0.292298990732005	-3.24897413731569	0.00115822008105709	0.257042860112829
ENSMUSG00000025592.17	Dach2	0.199291555555556	0.27644475	0.137569	-0.166177037484115	0.422540698624011	-3.24323608918735	0.00118180239241427	0.257385791750569
ENSMUSG00000047497.10	Adamts12	0.691716333333333	0.44379125	0.8900564	0.388567119857851	0.199374283389514	3.24169228550269	0.0011882224504934	0.257385791750569
ENSMUSG00000042670.5	Immp1l	35.1873333333333	38.825875	32.2765	-0.259202359273929	0.184016831392315	-3.24113316612666	0.00119055554043648	0.257385791750569
ENSMUSG00000102070.1	Gm28661	20254.9888888889	25511.9	16049.46	-0.668612251479024	0.302664883716911	-3.23479319775153	0.00121730865254885	0.260920225543762
ENSMUSG00000020794.13	Ube2g1	13.6861588888889	15.553775	12.192066	-0.327489731732613	0.218832331828877	-3.21835871048426	0.00128926471186193	0.274001529187063
