Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000100862.1	Gm10925	2588.27183333333	4346.92666666667	829.617	-2.38807230327367	0.376047012580258	-6.62566093798304	3.45697856250873e-11	7.722198712932e-07
ENSMUSG00000089739.2	Gm20431	1.74149666666667	0	3.48299333333333	2.16446235395606	1.28763965840612	6.1712934916913	6.77335569224757e-10	7.56516097267131e-06
ENSMUSG00000094103.2	1700047I17Rik2	0.502599833333333	1.00481666666667	0.000383	-1.00291786698249	3.91023679881626	-5.58324238177142	2.36075370008135e-08	0.000155771905605434
ENSMUSG00000108815.1	AC149222.1	0.494931666666667	0	0.989863333333333	0.992669347807617	1.31758151751137	5.55416859098355	2.78936172630376e-08	0.000155771905605434
ENSMUSG00000003379.7	Cd79a	28.785495	12.5459566666667	45.0250333333333	1.76455648072265	0.34776825217067	5.00088102056369	5.70689244641136e-07	0.00254961126935874
ENSMUSG00000081344.5	Gm14303	37.4122333333333	0	74.8244666666667	6.24459154015935	1.35851579990921	4.82708903048851	1.38543196026138e-06	0.00496704799274291
ENSMUSG00000033342.13	Plppr5	1.85601283333333	2.84841333333333	0.863612333333333	-1.04616197472314	0.384909456326681	-4.8016969558516	1.57326661717394e-06	0.00496704799274291
ENSMUSG00000101111.1	Gm28437	1547.70483333333	2871.45333333333	223.956333333333	-3.67456656496363	0.807633047550758	-4.77704843619898	1.77886936798027e-06	0.00496704799274291
ENSMUSG00000036523.16	Greb1	1.086969	1.82134666666667	0.352591333333333	-1.0606579298431	0.50591881996711	-4.4455225087879	8.76784995937893e-06	0.0197923054785225
ENSMUSG00000030724.7	Cd19	15.6882966666667	8.87192666666667	22.5046666666667	1.2515436383605	0.382270610928962	4.42194409780493	9.78167675413013e-06	0.0197923054785225
ENSMUSG00000098650.1	Gm28048	6.65034	3.15322	10.14746	1.42441282307101	0.346297132117845	4.42169909828485	9.79277699826233e-06	0.0197923054785225
ENSMUSG00000083365.1	Gm12895	13995.2383333333	9483.77666666667	18506.7	0.964439910159481	0.203814571404925	4.40389483800723	1.0632449894452e-05	0.0197923054785225
ENSMUSG00000024222.16	Fkbp5	25.2408166666667	34.2727333333333	16.2089	-1.03539849388615	0.275813909158843	-4.35333290258207	1.34083303304638e-05	0.0218797693019698
ENSMUSG00000025453.18	Nnt	12.7548983333333	17.5773666666667	7.93243	-1.05642140671853	0.309371517317841	-4.34840993719722	1.37128109153719e-05	0.0218797693019698
ENSMUSG00000063954.7	Hist2h2aa2	46.99658	18.14236	75.8508	2.00529157211294	0.48827108269708	4.28673693263158	1.81316799474307e-05	0.0270016977777138
