Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000030607.7	Acan	73.3232125	129.637025	17.0094	-2.85874181943547	0.192313364338223	-15.8713577490246	1.00052832950952e-56	2.41127327411795e-52
ENSMUSG00000040533.7	Matn1	22.33667375	42.13805	2.5352975	-3.60905743283305	0.26450333491453	-14.8394598006844	8.14088731153173e-50	9.80976921039574e-46
ENSMUSG00000006538.12	Ihh	8.36166125	15.531425	1.1918975	-2.91495884948725	0.246268806744225	-13.743773878474	5.55054308490987e-43	4.45893627821093e-39
ENSMUSG00000021613.9	Hapln1	37.22223125	70.338275	4.1061875	-3.80435791122429	0.321944691642468	-12.653761356671	1.06644264271398e-36	6.42531692235172e-33
ENSMUSG00000036412.5	Arsi	7.59609125	12.7500475	2.442135	-1.99806101660853	0.186859591377722	-12.132363338976	7.11655051301053e-34	3.43017734727107e-30
ENSMUSG00000039462.4	Col10a1	371.1990625	683.12225	59.275875	-3.50460155807098	0.292138152725055	-11.6977941031768	1.30809757513274e-31	5.25419192678319e-28
ENSMUSG00000026147.16	Col9a1	50.49828875	95.663025	5.3335525	-3.93187730176529	0.368034100436073	-11.2098642266633	3.64752461324863e-29	1.25579061684703e-25
ENSMUSG00000022548.14	Apod	6.5829525	2.103365	11.06254	1.95862843296083	0.241705973658254	11.1430291336976	7.74397783779832e-29	2.33287332363674e-25
ENSMUSG00000015134.15	Aldh1a3	11.05307	15.68	6.42614	-1.16743487006605	0.113126528573197	-11.0396096118074	2.46100054355117e-28	6.59001256662035e-25
ENSMUSG00000026258.5	3110079O15Rik	60.96948	113.65255	8.28641	-3.62600365411635	0.337137869497156	-10.6901802769255	1.13150827549316e-26	2.72693494393853e-23
ENSMUSG00000035112.17	Wnk4	7.3401225	11.1827575	3.4974875	-1.43764953940513	0.131038872042347	-10.6344812885021	2.059716497508e-26	4.51265159908571e-23
ENSMUSG00000048583.16	Igf2	36.921775	14.215825	59.627725	1.99440512893521	0.192791092933641	10.3161746900557	5.95485910013774e-25	1.195934202611e-21
ENSMUSG00000027570.15	Col9a3	60.66846	114.34185	6.99507	-3.85066159212824	0.41477163190664	-9.82661176817109	8.64794319332773e-23	1.60319562276306e-19
ENSMUSG00000028626.5	Col9a2	61.67624625	115.2517	8.1007925	-3.67511582217738	0.387698535190845	-9.68670514469442	3.43429206804601e-22	5.91188848856492e-19
ENSMUSG00000019936.10	Epyc	6.644069	12.87339	0.414748	-3.29370335410915	0.503162884810215	-9.57531855755574	1.01543782864602e-21	1.63147011135793e-18
ENSMUSG00000094686.1	Ccl21a	4.765118125	0.26087125	9.269365	3.02585410431411	0.573702967158818	9.49368947077789	2.22998633702268e-21	3.35891692014041e-18
ENSMUSG00000020583.4	Matn3	12.359796875	23.9287	0.79089375	-3.79905599719917	0.507594470763496	-9.44027288667024	3.71809806119283e-21	5.27095078086748e-18
ENSMUSG00000022483.17	Col2a1	443.53965	803.4205	83.6588	-3.24821790364995	0.336631809578824	-9.32373783016981	1.12312339098634e-20	1.50373742904283e-17
ENSMUSG00000014444.17	Piezo1	48.0302875	54.004475	42.0561	-0.353331349948829	0.0633902467790593	-9.28000378383322	1.69472546535602e-20	2.14962545868843e-17
ENSMUSG00000019929.16	Dcn	1280.32875	1105.6625	1454.995	0.395790092211129	0.0576118867209856	8.94783960213754	3.62507287160737e-19	4.317380787547e-16
ENSMUSG00000015354.8	Pcolce2	11.60538125	16.296125	6.9146375	-1.12785367485037	0.139871875476179	-8.94374403497234	3.7620330513895e-19	4.317380787547e-16
ENSMUSG00000047904.6	Sstr2	7.07328625	10.2654925	3.88108	-1.20663808353563	0.144291868725181	-8.89289465661498	5.95372510420196e-19	6.52203522778488e-16
ENSMUSG00000025185.14	Loxl4	47.5487125	63.1895	31.907925	-0.963902262655548	0.0960854788379644	-8.88247719716904	6.53876536791028e-19	6.85148892898425e-16
ENSMUSG00000042436.12	Mfap4	8.762496625	1.62936825	15.895625	2.68386160492364	0.389743721663336	8.81778916683094	1.16741806201925e-18	1.17228230394433e-15
ENSMUSG00000020689.4	Itgb3	76.846075	91.664575	62.027575	-0.556034756531447	0.053087834972811	-8.44103448721069	3.14541318402892e-17	3.03217830940388e-14
ENSMUSG00000031075.18	Ano1	68.8258	62.36505	75.28655	0.267741401095037	0.0505539230646849	8.23867433092235	1.74129203859756e-16	1.61404377423851e-13
ENSMUSG00000057092.12	Fxyd3	6.973163375	13.1298	0.81652675	-2.95948652920306	0.403968895785143	-8.14994081508176	3.64102425749553e-16	3.24995128169046e-13
