Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000032690.16	Oas2	9.11170833333333	14.3145	3.90891666666667	-1.6414216844868	0.178970013743736	-10.4305091841954	1.79921529965873e-25	4.30552221208334e-21
ENSMUSG00000030921.17	Trim30a	23.3179666666667	30.0786333333333	16.5573	-0.823852062248265	0.122008535120006	-6.97415152451488	3.07722283401139e-12	3.68189712089463e-08
ENSMUSG00000026180.8	Cxcr2	44.8571833333333	60.273	29.4413666666667	-1.00921835897333	0.142261988285376	-6.57015816069218	5.02618456472723e-11	4.00921988779742e-07
ENSMUSG00000026893.4	Gca	25.4066333333333	31.7961666666667	19.0171	-0.712294220100604	0.147795966848469	-6.48063273651831	9.13387578768096e-11	5.46434118998013e-07
ENSMUSG00000095742.1	CAAA01147332.1	2049.31666666667	1439.21	2659.42333333333	0.885376639945711	0.160280397641387	6.32904979429817	2.46675503852278e-10	1.16487722981595e-06
ENSMUSG00000030474.9	Siglece	34.2714166666667	44.7481666666667	23.7946666666667	-0.883684099073898	0.137607702785831	-6.28248039702181	3.33213298414519e-10	1.16487722981595e-06
ENSMUSG00000000204.16	Slfn4	83.4270166666667	113.620666666667	53.2333666666667	-1.07961455550884	0.161799552595017	-6.27900359613826	3.40749712023051e-10	1.16487722981595e-06
ENSMUSG00000027360.5	Hdc	57.29805	80.3444	34.2517	-1.20635019711332	0.191097423135795	-6.23687282360902	4.46404611587606e-10	1.33530779441143e-06
ENSMUSG00000025498.15	Irf7	35.7885	46.7575333333333	24.8194666666667	-0.887269123343259	0.140372632729398	-6.14718992901667	7.88676714657482e-10	1.75675847738938e-06
ENSMUSG00000042851.17	Zc3h6	2.75014	1.68752	3.81276	0.840588990596973	0.202521738440601	6.14626929874325	7.93265597231493e-10	1.75675847738938e-06
ENSMUSG00000032661.9	Oas3	18.10391	25.5245	10.68332	-1.18287525880671	0.174722829717108	-6.13359714412787	8.59139152519918e-10	1.75675847738938e-06
ENSMUSG00000025473.16	Adam8	76.18725	91.3587	61.0158	-0.574612043317101	0.102856827330811	-6.12960978807629	8.80948672322297e-10	1.75675847738938e-06
ENSMUSG00000047798.15	Cd300lf	86.5861333333333	110.237	62.9352666666667	-0.798952895806731	0.11330217041503	-6.03141864702358	1.62526538181974e-09	2.91368834752849e-06
ENSMUSG00000021456.8	Fbp2	10.7783216666667	3.83124333333333	17.7254	1.95453011357405	0.378765870923406	6.02371127965082	1.70462335417463e-09	2.91368834752849e-06
ENSMUSG00000030786.18	Itgam	114.074616666667	138.446666666667	89.7025666666667	-0.620498167315377	0.0875312926566636	-5.98880103150642	2.11393579911124e-09	3.37243224484879e-06
ENSMUSG00000062515.3	Fabp4	410.779833333333	282.687333333333	538.872333333333	0.928316549766931	0.166252103776339	5.95142884527307	2.65811580878675e-09	3.83532771219341e-06
ENSMUSG00000022769.8	Sdf2l1	55.8593666666667	81.1358666666667	30.5828666666667	-1.3788702226844	0.220668156916194	-5.94738279062647	2.7246373216585e-09	3.83532771219341e-06
ENSMUSG00000052776.10	Oas1a	9.49580333333333	13.7474333333333	5.24417333333333	-1.23988139632856	0.221401017313782	-5.90828181828597	3.45694267744056e-09	4.44885055223828e-06
ENSMUSG00000044103.4	Il1f9	19.2080333333333	26.4913333333333	11.9247333333333	-1.08884236468476	0.179499151787666	-5.90472712377505	3.53230925585154e-09	4.44885055223828e-06
ENSMUSG00000036905.8	C1qb	125.818366666667	155.270666666667	96.3660666666667	-0.682556030482753	0.10213446423201	-5.7986702252661	6.68428305418685e-09	7.99774467433457e-06
ENSMUSG00000032115.14	Hyou1	47.4919666666667	62.1155	32.8684333333333	-0.898053094939526	0.14269766339874	-5.73435923606327	9.78816762049677e-09	1.11538500551661e-05
ENSMUSG00000022490.7	Ppp1r1a	8.62829666666667	3.40085666666667	13.8557366666667	1.75516385747266	0.368347149910971	5.71534121403482	1.09484112379635e-08	1.19088854965667e-05
ENSMUSG00000032496.7	Ltf	1653.08333333333	2094.60666666667	1211.56	-0.78931182008462	0.1131844549603	-5.62183300218897	1.88941867680545e-08	1.96581691025889e-05
ENSMUSG00000070327.14	Rnf213	26.3751166666667	31.5011666666667	21.2490666666667	-0.546746688999385	0.136199920061411	-5.60427524756778	2.09128154748848e-08	2.0851819763083e-05
ENSMUSG00000053835.17	H2-T24	32.6933	41.1177333333333	24.2688666666667	-0.737066836911758	0.131501421950528	-5.57538115200531	2.46988482355608e-08	2.36417375310788e-05
ENSMUSG00000038393.14	Txnip	464.587	369.552	559.622	0.597352348066421	0.121418097955868	5.56499569549752	2.62158881646443e-08	2.41287001453822e-05
ENSMUSG00000003283.14	Hck	68.6500666666667	84.1203	53.1798333333333	-0.651747279952751	0.108094741019036	-5.51255284887234	3.53665944008676e-08	3.13452816301023e-05
ENSMUSG00000024164.15	C3	140.369333333333	162.321333333333	118.417333333333	-0.451700992823247	0.081440477990656	-5.4793102527271	4.26987076608164e-08	3.64921455115477e-05
ENSMUSG00000026921.18	Egfl7	157.508166666667	127.765666666667	187.250666666667	0.547907001176784	0.119788478970675	5.45755091924036	4.8274673738302e-08	3.98349290537092e-05
ENSMUSG00000002944.15	Cd36	86.1939166666667	67.3183	105.069533333333	0.634666344996532	0.163121602258257	5.45142295639833	4.99683689918675e-08	3.9858102332513e-05
ENSMUSG00000034845.6	Plvap	130.234316666667	102.889966666667	157.578666666667	0.610142370171844	0.128520708484979	5.43790116618278	5.39118640785562e-08	4.03648014220631e-05
ENSMUSG00000095440.2	Fignl2	5.01004166666667	3.72450333333333	6.29558	0.626860004237842	0.154521961069206	5.43768541182625	5.39771686379448e-08	4.03648014220631e-05
ENSMUSG00000074272.10	Ceacam1	62.9759833333333	77.8474	48.1045666666667	-0.683205983090439	0.0961358441035323	-5.40878332697113	6.34543416055317e-08	4.53864875038256e-05
ENSMUSG00000036887.5	C1qa	163.106166666667	200.741666666667	125.470666666667	-0.673706273253004	0.106924327676033	-5.40589488956792	6.44856069841232e-08	4.53864875038256e-05
ENSMUSG00000078763.2	Slfn1	39.3881833333333	49.1769666666667	29.5994	-0.713521894063794	0.119136839620887	-5.39057939202827	7.0230879444681e-08	4.80178555746062e-05
ENSMUSG00000022878.5	Adipoq	64.5316833333333	53.1248	75.9385666666667	0.507417164224608	0.113822183337381	5.34148762571881	9.21869099661231e-08	6.12786876524812e-05
ENSMUSG00000032053.8	Pou2af1	31.1706833333333	38.7591666666667	23.5822	-0.693673482590322	0.119441743295318	-5.31239938810786	1.08191162335641e-07	6.858298476624e-05
ENSMUSG00000013974.3	Mcemp1	53.5722166666667	67.4533	39.6911333333333	-0.75040562962069	0.126786336218807	-5.31119725440267	1.08907372382663e-07	6.858298476624e-05
