Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000030074.9	Gxylt2	4.45796285714286	5.67055333333333	3.54852	-0.552409243551707	0.121998974956621	-6.29337210417536	3.10642467920002e-10	3.6794468319141e-06
ENSMUSG00000028626.5	Col9a2	51.5156714285714	70.3425333333333	37.395525	-0.893824271427102	0.14069244457479	-6.2919423320776	3.13517964546191e-10	3.6794468319141e-06
ENSMUSG00000028047.11	Thbs3	30.4665285714286	37.9134666666667	24.881325	-0.588358032462304	0.131442742404647	-6.05078521917072	1.4414151761036e-09	1.12776323378346e-05
ENSMUSG00000038871.5	Bpgm	284.46	365.584333333333	223.61675	-0.706679615294058	0.137001232987113	-5.48291897763653	4.18364656120726e-08	0.000245496380211642
ENSMUSG00000069917.7	Hba-a2	55402.5142857143	74375.8333333333	41172.525	-0.853136357317537	0.165977798767663	-5.33748918260214	9.42425235544174e-08	0.000442412102573857
ENSMUSG00000020295.1	Hbq1a	8.08917857142857	11.9159666666667	5.2190875	-1.05438080223457	0.243297181722143	-4.99507594601384	5.88126183401137e-07	0.00216990666985383
ENSMUSG00000028197.4	Col24a1	6.05001	7.97259666666667	4.60807	-0.678021203865354	0.162550158700755	-4.97659470303806	6.47126222263838e-07	0.00216990666985383
ENSMUSG00000046186.8	Cd109	9.29314142857143	12.0791	7.2036725	-0.672921465371295	0.157052644351959	-4.93027090811423	8.211566262871e-07	0.00240927354152635
ENSMUSG00000028766.10	Alpl	95.6861	121.08	76.640675	-0.65294230142484	0.141703452231017	-4.81738475555793	1.45452048861305e-06	0.00379338943430283
ENSMUSG00000039910.10	Cited2	29.0114285714286	23.2987666666667	33.295925	0.497154078547458	0.108716921886224	4.77060380526602	1.8367449962431e-06	0.00398552695582274
ENSMUSG00000027570.15	Col9a3	56.9688	71.5518	46.03155	-0.625382528494639	0.136105449511347	-4.76722667840445	1.8677912625277e-06	0.00398552695582274
ENSMUSG00000024538.7	Ppic	70.2923142857143	85.9520666666667	58.5475	-0.54617937747271	0.121156650915819	-4.73797613835293	2.15863222459425e-06	0.00400598669539077
ENSMUSG00000018593.13	Sparc	1890.47285714286	2436.28333333333	1481.115	-0.71761658028271	0.1577027312958	-4.7230359740662	2.32349730046333e-06	0.00400598669539077
ENSMUSG00000074269.10	Rec114	41.8494	53.218	33.32295	-0.659598340465666	0.156307018040491	-4.71734763392595	2.38939220072728e-06	0.00400598669539077
ENSMUSG00000052305.6	Hbb-bs	71820.5142857143	94649.6333333333	54698.675	-0.791079898208167	0.17658313338477	-4.67312589453949	2.96649800733863e-06	0.00464197608188349
ENSMUSG00000069919.7	Hba-a1	40622.5571428571	52063.1	32042.15	-0.700272948353192	0.158917324882495	-4.59128542972407	4.40524386865383e-06	0.00614284117249999
ENSMUSG00000031740.8	Mmp2	91.8291285714286	121.323466666667	69.708375	-0.790748189408673	0.189169814107418	-4.58921976239116	4.44905844974863e-06	0.00614284117249999
ENSMUSG00000039899.5	Fgl2	9.82494285714286	7.17546	11.812055	0.648130083876	0.154683117886493	4.57243917502451	4.82079189546818e-06	0.0062863126316905
ENSMUSG00000022816.11	Fstl1	39.9220857142857	46.4814	35.0026	-0.399261376367677	0.102609435841023	-4.51818812654404	6.23710567348709e-06	0.00770512338779416
ENSMUSG00000029231.15	Pdgfra	9.34278142857143	10.9292333333333	8.1529425	-0.382193804467875	0.111976694814973	-4.5011493867854	6.75869811410738e-06	0.00774715246055801
ENSMUSG00000036103.8	Colec12	18.9750571428571	23.3194666666667	15.71675	-0.540817198387563	0.132240120453604	-4.49578895829984	6.93124581082644e-06	0.00774715246055801
ENSMUSG00000015354.8	Pcolce2	14.2306428571429	17.5466333333333	11.74365	-0.541378776853997	0.16298275059252	-4.46663767576776	7.94585342693377e-06	0.00823157262398539
ENSMUSG00000073940.3	Hbb-bt	14632.0171428571	19263.7333333333	11158.23	-0.787724733088211	0.183677104541692	-4.46342342262289	8.06604338580709e-06	0.00823157262398539
ENSMUSG00000028730.14	Cfap57	0.231639	0.053083	0.365556	0.374869330121135	0.629894427736944	4.4262578674642	9.58818962265754e-06	0.00937724945095908
ENSMUSG00000068748.7	Ptprz1	2.92931428571429	3.92863333333333	2.179825	-0.63224028568408	0.192056720288137	-4.40658856477243	1.05011382851183e-05	0.00969942859672342
ENSMUSG00000083012.8	Fam220a	140.952371428571	175.072	115.36265	-0.597537444271095	0.113100537684118	-4.40162963900939	1.07440841647413e-05	0.00969942859672342
ENSMUSG00000036446.5	Lum	127.424457142857	160.153333333333	102.8778	-0.6335466647465	0.151313550379418	-4.38951691498237	1.13602742273412e-05	0.0098758650616353
ENSMUSG00000024330.16	Col11a2	166.644857142857	214.856666666667	130.486	-0.715164454247893	0.172560448175758	-4.37850977920505	1.19493580193715e-05	0.0100169761225246
ENSMUSG00000093485.1	Gm20708	2.41122428571429	4.08898	1.1529075	-1.24109018622361	0.438352298677582	-4.3483049526407	1.37193753800243e-05	0.0111041785834459
ENSMUSG00000070047.14	Fat1	9.02308571428572	10.5264666666667	7.89555	-0.373794622465036	0.161880520480387	-4.33255472673514	1.47389009793879e-05	0.0111766376018322
ENSMUSG00000020866.17	Cacna1g	27.8655714285714	31.7384666666667	24.9609	-0.334646354709332	0.121876588459718	-4.33222142424874	1.47612374598159e-05	0.0111766376018322
ENSMUSG00000089661.9	Mia	18.9097914285714	26.2965	13.36976	-0.925680011906438	0.232755791468548	-4.30562748551304	1.66513061236379e-05	0.0122137330416884
ENSMUSG00000041734.15	Kirrel	6.99820142857143	8.53998333333333	5.841865	-0.479597107892879	0.133427263811999	-4.29260285264525	1.76590703867639e-05	0.0125604151550946
ENSMUSG00000000753.15	Serpinf1	265.647571428571	331.808	216.02725	-0.616813914010261	0.159303617272999	-4.27213312831788	1.93611924452032e-05	0.0133660561492297
ENSMUSG00000027408.7	Cpxm1	18.1034428571429	23.2724666666667	14.226675	-0.672719788924655	0.200984079663997	-4.24797527338076	2.1571119593624e-05	0.0144662091171869
ENSMUSG00000074483.2	Bglap	1279.91228571429	1781.32333333333	903.854	-0.978002147214729	0.23945070841946	-4.21462597799581	2.50192468122541e-05	0.0163125489215897
ENSMUSG00000026042.16	Col5a2	70.2057	90.5951333333333	54.913625	-0.712071065542362	0.177138550230481	-4.20057427691889	2.66238803273332e-05	0.0168896140281937
ENSMUSG00000028088.14	Fmo5	5.76413	4.38784666666667	6.7963425	0.533088677251878	0.152237362152755	4.17228732654581	3.01557026364562e-05	0.0186267013758658
ENSMUSG00000030607.7	Acan	48.0315428571429	60.0809333333333	38.9945	-0.610920491284548	0.158437753345576	-4.16279253022004	3.14378993326092e-05	0.0188678334792873
ENSMUSG00000039007.10	Cpq	16.6624571428571	19.738	14.3558	-0.433493090262125	0.116218167396038	-4.15765030235587	3.21537721187582e-05	0.0188678334792873
ENSMUSG00000030772.6	Dkk3	12.9878871428571	17.4626666666667	9.6318025	-0.796224734604125	0.213929379363248	-4.13399749903895	3.56507354410557e-05	0.020042765948274
ENSMUSG00000039196.2	Orm1	11.7468385714286	6.25642333333333	15.86465	1.21667184874942	0.315282796134334	4.13262830304822	3.58638449994678e-05	0.020042765948274
ENSMUSG00000030717.9	Nupr1	72.3994571428571	85.9595	62.229425	-0.45974754528238	0.130923214425866	-4.1063146473747	4.02021773485648e-05	0.0208858403257824
ENSMUSG00000031337.16	Mtm1	3.62159142857143	2.60642333333333	4.3829675	0.577832960223268	0.186093453239556	4.10251276712732	4.08687296144887e-05	0.0208858403257824
ENSMUSG00000034205.16	Loxl2	16.5938714285714	21.3200333333333	13.04925	-0.66784606552813	0.183638193425162	-4.09862006376006	4.15620627480594e-05	0.0208858403257824
ENSMUSG00000029061.2	Mmp23	15.3744714285714	19.4847666666667	12.29175	-0.624020396543384	0.168594954573479	-4.09841572373314	4.15987645148763e-05	0.0208858403257824
ENSMUSG00000035279.8	Ssc5d	8.49279714285714	11.0783333333333	6.553645	-0.67717650571346	0.202249788139306	-4.09286057426787	4.26083941992331e-05	0.0208858403257824
ENSMUSG00000026043.18	Col3a1	440.147428571429	586.532666666667	330.3585	-0.826276139518253	0.200837603665887	-4.09230123862458	4.27113299095754e-05	0.0208858403257824
ENSMUSG00000058806.14	Col13a1	11.7062328571429	15.2327333333333	9.0613575	-0.690080977375558	0.185971856227859	-4.06988746946519	4.70358514206396e-05	0.0223146047342848
ENSMUSG00000060284.7	Sp7	27.6823285714286	34.3081	22.713	-0.574320994983694	0.188711580610357	-4.06305752810771	4.8434086689385e-05	0.0223146047342848
ENSMUSG00000027864.9	Ptgfrn	7.65977	9.27347	6.449495	-0.463709019297525	0.133111278599739	-4.05860600875122	4.93665223343982e-05	0.0223146047342848
ENSMUSG00000018677.9	Slc25a39	152.604428571429	186.177333333333	127.42475	-0.543482473804532	0.130224677397576	-4.05827798776966	4.94359000589131e-05	0.0223146047342848
ENSMUSG00000022440.9	C1qtnf6	16.3188028571429	20.4334	13.232855	-0.59063563991623	0.172545620156675	-4.04488238262913	5.23493993350477e-05	0.0231838698338158
ENSMUSG00000032786.16	Alas1	70.7304714285714	49.4413	86.69735	0.797927790554779	0.193408626970948	4.03676616395636	5.419303579589e-05	0.0231933083642202
ENSMUSG00000022665.14	Ccdc80	34.3713142857143	42.5236333333333	28.257075	-0.573013455079224	0.151555301239174	-4.03610040696186	5.43469648957103e-05	0.0231933083642202
ENSMUSG00000035237.7	Lcat	5.46035571428571	7.42395666666667	3.987655	-0.756136338800096	0.227674244636295	-4.02588010280686	5.67626076923002e-05	0.0232783123624849
ENSMUSG00000014329.14	Bicc1	7.71074714285714	9.69841333333333	6.2199975	-0.567326605737608	0.170318261142474	-4.02146187759919	5.78380695896468e-05	0.0232783123624849
ENSMUSG00000045672.15	Col27a1	24.2517857142857	29.9105666666667	20.0077	-0.557181883469292	0.1573585435071	-4.02089430193816	5.79776166059638e-05	0.0232783123624849
ENSMUSG00000075705.12	Msrb1	107.789714285714	80.1964333333333	128.484675	0.673293098090591	0.158077966713835	4.01560016170809	5.92947092940507e-05	0.0232783123624849
ENSMUSG00000040690.15	Col16a1	52.8429428571429	68.2433	41.292675	-0.711266669046725	0.210502042864048	-4.0147656532938	5.95048884521596e-05	0.0232783123624849
ENSMUSG00000021760.4	Gpx8	30.1666142857143	37.1512333333333	24.92815	-0.557210424414721	0.148101120524733	-4.00673355020343	6.15642472947381e-05	0.0236891149590507
ENSMUSG00000031253.15	Srpx2	10.29763	12.6595333333333	8.5262025	-0.519935074248036	0.14878600235306	-3.97944472977551	6.90764163517739e-05	0.0261509942678845
ENSMUSG00000048126.16	Col6a3	58.9214142857143	73.2850333333333	48.1487	-0.595918314027285	0.166834626567099	-3.96435575082858	7.35944322676444e-05	0.0274191827648595
ENSMUSG00000022483.17	Col2a1	337.590857142857	442.831	258.66075	-0.773382483630485	0.200714678087054	-3.93915110652683	8.17704194824664e-05	0.0299893013451946
ENSMUSG00000089722.2	Cd300ld5	0.239280142857143	0.558320333333333	0	-0.639991828911998	1.43579285662833	-3.91769696100543	8.93989931682519e-05	0.0322826641176186
ENSMUSG00000056214.8	Pard6g	5.33054142857143	6.88057	4.16802	-0.608688330083709	0.193555118145456	-3.90047506910515	9.60041126355665e-05	0.0341425535118487
ENSMUSG00000032492.14	Pth1r	47.2498285714286	60.2151333333333	37.52585	-0.668061566241912	0.180867183790328	-3.88894892316598	0.00010067930170289	0.0352708144711974
ENSMUSG00000016918.15	Sulf1	8.29359285714286	9.83948666666667	7.1341725	-0.414228944344029	0.120267777514819	-3.87897428555373	0.0001048978416186	0.0358865334884756
ENSMUSG00000074486.2	Bglap2	688.151285714286	936.425	501.946	-0.898299760333039	0.241458084254023	-3.87759378404175	0.000105494666441071	0.0358865334884756
ENSMUSG00000048782.15	Insc	5.22436	7.1516	3.77893	-0.770395624344559	0.257595992038289	-3.85569517147996	0.000115401216727195	0.0386956765574389
ENSMUSG00000036334.12	Igsf10	3.29970714285714	4.16920333333333	2.647585	-0.503000354782145	0.209692695969212	-3.85132054547047	0.00011748260392765	0.0388387560477437
ENSMUSG00000014303.13	Glis2	5.8449	7.01823666666667	4.9648975	-0.426787653719624	0.181111557813324	-3.83081199188667	0.00012772107144599	0.0416370692913927
ENSMUSG00000033420.12	Antxr1	15.3472	18.4651	13.008775	-0.47455895186391	0.143112473578552	-3.81106613346716	0.000138368740038285	0.0442691214510482
ENSMUSG00000024164.15	C3	36.4362428571429	24.1559	45.6465	0.890872030534709	0.223583502008786	3.80893448210162	0.000139566930273414	0.0442691214510482
ENSMUSG00000022025.13	Cnmd	41.0649285714286	54.1779666666667	31.23015	-0.775681390942688	0.201344103996543	-3.80037017119272	0.000144480099117662	0.044580778042627
ENSMUSG00000007872.3	Id3	71.6806142857143	85.2894666666667	61.473975	-0.465929134282787	0.12590827034913	-3.79603233939773	0.000147030326952038	0.044580778042627
